gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
Region1092	6.48091342000441	6.33785726308119	5.61179329670881	5.75649060090365	5.8026575575578	6.0116036334115	5.5239132843673	5.19375721133088	6.51786001829331	6.49569037280669	5.39262583985575	5.78576169854345
Region1093	7.7730240124749	7.66024075446439	8.63080952556071	8.61290099769972	7.95924983986167	8.05653335888247	8.93347504926752	8.71984688193972	7.95190584953358	7.91156314594989	8.61753263786273	8.56454109726205
Region1094	8.78668040983586	8.82536132796934	8.93746030047086	9.12526791829573	8.95374690223233	8.94415947524691	9.22374254563301	9.28625714948939	8.80681353688811	8.84026438370012	8.75788853030363	9.1311253398579
Region1095	8.66828262978151	8.87524333223964	9.01124848351131	9.24005984931931	9.11907315936223	8.9180107376132	9.52294148768687	9.55477402705671	8.92773186102969	8.88337737060586	9.12428011127029	9.28641440584945
Region1097	6.91850668560775	7.14102137632209	6.53576657091103	6.49674323661066	7.12903515407872	7.0446384926254	6.25654333248052	6.38943077389881	7.12585709655331	7.02326249898665	6.59457865964043	6.75911552095888
Region1099	7.20149312990212	7.25281475168491	7.67425003367135	7.61145532168544	7.77946174442577	7.67535994344629	7.94990004886745	7.97791561667528	7.44066441319325	7.57002381545374	7.91247523782041	7.69094407741378
Region1101	4.67335293615968	5.107422159808	5.47316147156558	5.43839515993801	4.88288531985485	4.76419368227744	5.08229891282428	5.22886827446677	4.94390322533745	5.02978316117103	5.03219186936725	4.89225294826468
Region1102	6.61355824895426	6.64678678832255	6.36198826181317	6.4436686424852	6.91667274243685	7.05633537574819	6.5064069790836	6.49330479025468	6.40827394212202	6.75758056311884	7.12549073925511	6.65454648709588
Region1103	8.79485028861201	9.09408998632688	9.635189628251	10.128286350908	9.17429468122648	9.38925939642558	9.9683061289067	10.265394377504	9.13863893440978	9.06770532828485	9.6811295371638	10.1322937415784
Region1106	5.79078405601938	5.73712732462158	4.38795615696094	4.62489554147162	5.2531643495444	5.12098481485385	4.5258029341278	4.16233542681931	5.4795650861271	5.49775495584945	4.57193273306219	4.40904539228015
