SYMBOL	SYMBOL_unique	geneID	annotation	factor	direction	PPC_factor	PPC_direction	ATACseq_geneID	ATACseq_factor	ATACseq_direction	CBP_factor	CBP_direction	K27ac_geneID	K27ac_factor	K27ac_direction	PROseq_Time	PROseq_Gd7	PROseq_Toll10b	PROseq_Toll9	PPC_Time	PPC_Gd7	PPC_Toll10b	PPC_Toll9	ATACseq_Time	ATACseq_Gd7	ATACseq_Toll10b	ATACseq_Toll9	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	PC1	PC2	PC3	PC4
wor	wor.3	FBgn0001983	This	Gd7	Down	Gd7	Down	Region1127	Time	Down	Toll10b	Up	Region751	Toll10b	Up	2.61428279384725	-6.00249195382304	2.65908160544537	4.53873092396599	2.48192467385142	-6.98453816570046	2.37521640910733	5.88076331126725	-1.30940633472359	-1.08767446426345	0.86052001901139	0.235417814775701	-2.20986393493048	4.38769182848063	-2.45076007347955	-5.65692689121773	9.06573586368299	-5.00796000676714	-8.95446529041166	14.313947711175	-7.22330226547099	13.2652840529772	-3.77693985897407	6.88112235197058	-2.6167922078628
E(spl)m3-HLH	E.spl.m3.HLH	FBgn0002609	This	Gd7	Down	Gd7	Down	Region6860	Time	Up	Gd7	Down	Region4530	Gd7	Down	2.27286959963613	-3.51349186681071	1.80137872021429	2.32269164683025	1.58708193920135	-2.3455562818185	1.3145874661624	1.14017039516705	2.66083559225432	-0.993651998478498	0.513992115191061	0.586571704312167	-2.12646910868699	1.40814272154834	1.40766165739331	-1.71934957892197	-0.058038013556186	1.63184060782877	-4.83947068608746	1.86409682318322	3.62607396953425	0.917250140322506	5.77003765480379	-0.212773662748939	0.128741455408645
pnr	pnr	FBgn0003117	Literature & Roshan & This	Gd7	Up	Gd7	Up	Region6075	Gd7	Up	Toll10b	Down	Region4038	Gd7	Up	1.57509670666568	10.0913561267081	-7.16049177629175	-3.96190754036439	0.33890777713157	7.14508981167635	-5.92772216178813	-0.367784639728363	-0.661015621773598	3.07973398108816	-1.98412977058274	-1.28418678932167	1.99168996668525	-2.14519061549014	-0.212606056797893	5.70011468301116	-2.33408827024817	-2.57773190059212	10.7715386307846	-6.46340865632105	-4.07452474671168	-20.5556426666523	-7.80225358858068	1.29291887750468	5.56914588611465
shn	shn	FBgn0003396	Roshan & This	Gd7	Up	Gd7	Up	Region2160	Time	Down	Toll9	Down	Region1419	Gd7	Up	-1.09589942800466	4.01938188622812	-1.85679445845018	-2.93527003452486	0.124417800156175	1.0099225351536	-0.542122411636249	-0.529509253713408	-3.0632959379607	2.27229651647125	-0.347447434391308	-2.47163527700186	3.28651699063677	-1.15842841901255	-3.53783008016631	3.61057018191783	-1.50613240746443	-1.6017667145247	9.16938368902585	-3.01200826086829	-7.61123207169287	-13.634352212301	-9.43985907320254	0.0571771010408204	-0.809988537433712
shn	shn.1	FBgn0003396	Roshan & This	Gd7	Up	Gd7	Up	Region2173	Time	Down	Toll9	Down	Region1430	Gd7	Up	-1.09589942800466	4.01938188622812	-1.85679445845018	-2.93527003452486	0.124417800156175	1.0099225351536	-0.542122411636249	-0.529509253713408	-0.73114584754427	-0.301310515310569	-0.235703775544326	0.712399540254611	1.45495372440416	-0.149993073292941	-2.051810280203	2.02041714916216	-0.650748935288946	-1.11162519526861	3.17406035825575	-1.03644578412621	-2.451035935217	-8.94299534434396	-4.22539578087517	-0.44124134262863	3.31415205162289
sna	sna	FBgn0003448	Literature & Roshan & This	Gd7	Down	Toll9	Up	Region1123	Gd7	Down	Toll10b	Up	Region749	Toll10b	Up	0.543002145741928	-7.58961117415625	5.2182190263872	3.20761960950945	0.0900252480121832	-0.124568281402516	-0.713356361152719	1.32515933864004	-2.07554795537879	-2.12407107258961	0.881165194967625	1.55088118072933	-2.47174335700081	2.64387551632418	0.288429966862702	-5.27191834462554	6.00373416218933	-1.92622733910742	-9.86773277421596	9.52877487348113	-0.0869161915153882	11.5421244535284	3.27116019095383	1.1582323112099	-2.29512758647342
sna	sna.1	FBgn0003448	Literature & Roshan & This	Gd7	Down	Toll9	Up	Region1125	Toll9	Up	Gd7	Down	Region750	Toll10b	Up	0.543002145741928	-7.58961117415625	5.2182190263872	3.20761960950945	0.0900252480121832	-0.124568281402516	-0.713356361152719	1.32515933864004	0.309203570392007	-2.10341080142493	0.138779642539983	2.53753716319778	-3.88378895739623	2.3521496344159	2.86496309435424	-2.6673314574774	3.56713110342784	-1.56819965192685	-8.65453121629856	6.05806038038372	3.83430060562517	8.28139628446463	7.00332574215984	-0.84983245199912	-2.08380307804368
sna	sna.2	FBgn0003448	Literature & Roshan & This	Gd7	Down	Toll9	Up	Region1126	Toll9	Up	Gd7	Down	Region750	Toll10b	Up	0.543002145741928	-7.58961117415625	5.2182190263872	3.20761960950945	0.0900252480121832	-0.124568281402516	-0.713356361152719	1.32515933864004	1.29974049259946	-1.28224196440164	-0.561394604685695	2.42874282450529	-2.34048565345637	1.00980214206162	2.27209962707466	-2.6673314574774	3.56713110342784	-1.56819965192685	-6.29005907533541	4.01553864080376	3.1326427996531	5.5252276690053	6.36973043201331	-1.3350712458797	-3.49375708375439
sna	sna.3	FBgn0003448	Literature & Roshan & This	Gd7	Down	Toll9	Up	Region1127	Time	Down	Toll10b	Up	Region751	Toll10b	Up	0.543002145741928	-7.58961117415625	5.2182190263872	3.20761960950945	0.0900252480121832	-0.124568281402516	-0.713356361152719	1.32515933864004	-1.30940633472359	-1.08767446426345	0.86052001901139	0.235417814775701	-2.20986393493048	4.38769182848063	-2.45076007347955	-5.65692689121773	9.06573586368299	-5.00796000676714	-8.95446529041166	14.313947711175	-7.22330226547099	14.5369238701622	-4.00834468421525	4.23623213283891	-4.09106916301915
sog	sog	FBgn0003463	Literature & This	Gd7	Down	Toll9	Up	Region8822	Time	Down	Gd7	Down	Region5451	Gd7	Down	-2.03313107138694	-8.2363336626017	4.10661706994707	5.60329613268799	-0.541344873815543	-1.19002985793097	0.181955179355873	1.36162481262385	-2.61154005169654	-2.23427522524114	0.693451402723959	1.9500072152617	-2.74187181994973	1.59789990448261	2.10647035576563	-4.05620612934123	1.54527360673555	1.96397978424411	-9.0323531745321	3.83662491394212	6.02045735527144	6.77505046018185	10.6336016580347	0.27748952530858	-2.58644241331721
sog	sog.1	FBgn0003463	Literature & This	Gd7	Down	Toll9	Up	Region8822	Time	Down	Gd7	Down	Region5452	Gd7	Down	-2.03313107138694	-8.2363336626017	4.10661706994707	5.60329613268799	-0.541344873815543	-1.19002985793097	0.181955179355873	1.36162481262385	-2.61154005169654	-2.23427522524114	0.693451402723959	1.9500072152617	-2.74187181994973	1.59789990448261	2.10647035576563	-4.99636528301782	1.16200942270828	3.25035970237705	-9.97251232820869	3.45336072991485	7.30683727340438	7.02985359595208	12.035911141185	-0.108076202315285	-1.897547223873
sog	sog.2	FBgn0003463	Literature & This	Gd7	Down	Toll9	Up	Region8823	Gd7	Down	Gd7	Down	Region5452	Gd7	Down	-2.03313107138694	-8.2363336626017	4.10661706994707	5.60329613268799	-0.541344873815543	-1.19002985793097	0.181955179355873	1.36162481262385	-0.720146969493258	-1.75282444044	0.783810395906586	1.20247533477605	-2.03217838540647	1.06804841136369	1.71683009182887	-4.99636528301782	1.16200942270828	3.25035970237705	-8.78136810886429	3.01386822997856	6.16966512898197	6.07432022355247	10.9283442033897	0.00790620380989426	-2.7575475666564
sog	sog.3	FBgn0003463	Literature & This	Gd7	Down	Toll9	Up	Region8824	Time	Down	Gd7	Down	Region5453	Gd7	Down	-2.03313107138694	-8.2363336626017	4.10661706994707	5.60329613268799	-0.541344873815543	-1.19002985793097	0.181955179355873	1.36162481262385	-4.24385602279785	-1.58833032264245	1.33976894780041	0.230268335107973	-3.89784102325064	2.91857788385987	2.12866701664448	-3.66111657667781	1.22187152018932	1.96649093519247	-9.1472879225709	5.4802183518496	4.32542628694492	8.02271847764348	8.84865821669453	1.16046956599134	-2.81249198678609
sog	sog.4	FBgn0003463	Literature & This	Gd7	Down	Toll9	Up	Region8824	Time	Down	Gd7	Down	Region5454	Gd7	Down	-2.03313107138694	-8.2363336626017	4.10661706994707	5.60329613268799	-0.541344873815543	-1.19002985793097	0.181955179355873	1.36162481262385	-4.24385602279785	-1.58833032264245	1.33976894780041	0.230268335107973	-3.89784102325064	2.91857788385987	2.12866701664448	-3.382712878251	1.58073167092631	1.31050137934991	-8.86888422414409	5.83907850258659	3.66943673110236	8.12423439822064	8.14465451430115	1.41127501516153	-3.06339452812008
tup	tup	FBgn0003896	Literature & Roshan & This	Gd7	Up	Gd7	Up	Region1313	Gd7	Up	Gd7	Up	Region852	Gd7	Up	0.286585349677546	8.72505060842535	-5.7666369140451	-4.00422694529184	0.456731704620636	1.66057000600596	-1.06710475821635	-0.586912937806474	0.474939678508072	3.92779483355398	-2.52190118016365	-1.64954398962023	4.39710819408815	-3.30282403144565	-2.38739099774133	5.39558098196466	-2.42177342559647	-2.20192465277559	13.7204840096068	-8.24649863720577	-6.23885964013715	-22.5739788288912	-9.56316981114364	0.204782650190678	2.12290660887288
tup	tup.1	FBgn0003896	Literature & Roshan & This	Gd7	Up	Gd7	Up	Region1314	Gd7	Up	Gd7	Up	Region853	Gd7	Up	0.286585349677546	8.72505060842535	-5.7666369140451	-4.00422694529184	0.456731704620636	1.66057000600596	-1.06710475821635	-0.586912937806474	-0.937021968975847	4.25089443960831	-3.00531676778323	-1.40851202590328	4.50986738185557	-3.2450613958464	-2.63926752607819	5.19699396624693	-2.37152085450932	-2.07729409596642	13.9577557877108	-8.62189901813895	-6.12507364794789	-22.973047788108	-9.43147310325867	0.0629823547227064	2.01193112211642
ush	ush	FBgn0003963	Literature & Roshan & This	Gd7	Up	Toll9	Down	Region112	Gd7	Up	Gd7	Up	Region42	Gd7	Up	0.976732216186734	6.63975391180539	-2.55275073173129	-5.55059468876924	-0.281878925465684	0.789698157933224	-0.18330861050655	-0.80254407409992	-0.751467489341771	3.17371903855741	-1.45904806254497	-2.12283121329532	3.7282684796918	-2.20027206385482	-2.82744557362077	5.16505890025124	-1.94857069568281	-2.522330023408	12.0670464185004	-5.6078908220826	-7.47260681032409	-18.1262891501648	-11.0470710224074	-1.93037283416865	0.8036004643751
Wnt2	Wnt2	FBgn0004360	This	Gd7	Up	Gd7	Up	Region1995	Time	Down	Toll9	Down	Region1316	Gd7	Up	1.47116564822172	5.72246525070357	-4.35081257975259	-1.85070917642801	0.323173257615638	1.69946522278305	-1.62567066914227	0.260910823181876	-0.845894583331322	0.293214861733009	-0.0606370478459472	-0.297364733618315	1.87178829163493	-0.213077775904531	-2.61272346082296	4.49604582489658	-2.6592684106671	-1.11597458203564	6.66104897826452	-2.93298323441758	-4.02606277647692	-13.5333334871144	-5.82060231730975	1.72544858543494	2.86191368164872
Wnt2	Wnt2.1	FBgn0004360	This	Gd7	Up	Gd7	Up	Region2006	Gd7	Down	Gd7	Down	Region1322	Toll9	Down	1.47116564822172	5.72246525070357	-4.35081257975259	-1.85070917642801	0.323173257615638	1.69946522278305	-1.62567066914227	0.260910823181876	1.24486123612265	-5.53159197072688	3.8560480872696	1.9075391543833	-2.55212687142837	2.50542012269751	0.598173951779625	0.333692489573318	1.49480189122009	-1.97978976584789	-7.75002635258193	7.8562701011872	0.525923340315035	2.1685292006928	-1.22729429595959	4.17394067362385	11.2950476664296
Mdr49	Mdr49	FBgn0004512	Literature & Roshan & This	Gd7	Down	Gd7	Down	Region2327	Gd7	Up	Toll9	Down	Region1537	Toll10b	Up	-2.53544146953846	-3.88136498430311	3.80263795229397	0.0938740273976092	-1.89194766791222	-4.94525424724193	3.98628149076645	0.442519610821623	-0.508185391200601	0.61651766866617	-0.458593662321125	-0.173257484487465	-0.27862168340185	1.66598243693994	-1.79822600966229	-1.62121309402201	2.48107864902251	-1.30399743813455	-1.28331710875769	3.68846742364133	-3.2754809322843	1.06322603637059	-2.07633151840469	-0.919414344001494	-3.1297665899443
NetA	NetA	FBgn0015773	Roshan & This	Gd7	Down	Toll10b	Up	Region8761	Toll9	Up	Toll9	Up	Region5422	Toll9	Up	0.078170981160354	-5.80337395506525	3.09168687153541	3.67790702848641	0.168618466699053	-1.97906687004717	2.00367209398565	-0.48232956363672	-0.0512253129059359	-2.16936986418389	-0.108471784196307	2.96057690440803	-1.88150360765672	0.528513524466246	2.20561672183668	-1.30932798304909	-0.872155198213384	2.17084800453542	-5.3602014548897	-0.452113457943445	7.33704163078013	0.580414445770883	10.5507542370233	-1.85614705817587	-1.44385644169887
NetA	NetA.1	FBgn0015773	Roshan & This	Gd7	Down	Toll10b	Up	Region8761	Toll9	Up	Toll9	Up	Region5423	Toll9	Up	0.078170981160354	-5.80337395506525	3.09168687153541	3.67790702848641	0.168618466699053	-1.97906687004717	2.00367209398565	-0.48232956363672	-0.0512253129059359	-2.16936986418389	-0.108471784196307	2.96057690440803	-1.88150360765672	0.528513524466246	2.20561672183668	-0.87274790808555	-0.960177416354138	1.87168399152833	-4.92362137992616	-0.540135676084199	7.03787761777304	0.270242334273663	10.2125914966022	-1.82522123349712	-1.71290945820781
NetA	NetA.2	FBgn0015773	Roshan & This	Gd7	Down	Toll10b	Up	Region8762	Gd7	Down	Toll10b	Up	Region5424	Toll10b	Up	0.078170981160354	-5.80337395506525	3.09168687153541	3.67790702848641	0.168618466699053	-1.97906687004717	2.00367209398565	-0.48232956363672	-1.06067112626815	-4.21049018688164	3.11862809730691	1.20144661727038	-2.29921232481058	3.31669711278181	-0.879118663890577	-3.09515036767165	4.07618397241671	-1.74900469723215	-9.60485287936387	10.5115091825054	-1.42667674385235	10.9079024202271	1.68074523907738	3.56101552987326	-0.863009597398165
NetA	NetA.3	FBgn0015773	Roshan & This	Gd7	Down	Toll10b	Up	Region8762	Gd7	Down	Toll10b	Up	Region5425	Toll10b	Up	0.078170981160354	-5.80337395506525	3.09168687153541	3.67790702848641	0.168618466699053	-1.97906687004717	2.00367209398565	-0.48232956363672	-1.06067112626815	-4.21049018688164	3.11862809730691	1.20144661727038	-2.29921232481058	3.31669711278181	-0.879118663890577	-3.40878140667617	4.48168203996955	-1.91777746905486	-9.91848391836839	10.9170072500583	-1.59544951567506	11.3775808224455	1.52089959333002	3.72938604968793	-0.735154029334945
NetA	NetA.4	FBgn0015773	Roshan & This	Gd7	Down	Toll10b	Up	Region8764	Gd7	Down	Toll10b	Up	Region5427	Toll10b	Up	0.078170981160354	-5.80337395506525	3.09168687153541	3.67790702848641	0.168618466699053	-1.97906687004717	2.00367209398565	-0.48232956363672	0.299137585244097	-3.77498291138753	2.81204554455638	1.05534925415292	-3.60756786392213	4.07917898978324	0.126035405844647	-2.17148931576078	2.68511218548864	-1.03127783923932	-9.55404009107044	9.57633671982826	0.150106820758247	10.1682849665456	3.17272759693491	2.89902772104375	-0.544343266767598
B4	B4	FBgn0023407	Roshan & This	Gd7	Up	Gd7	Up	Region1002	Toll10b	Up	Toll10b	Up	Region710	Toll10b	Up	-1.04382920309083	4.65706671243882	-1.27496262305006	-4.59617598654641	-0.153385914811485	0.743033828429528	-0.561632280377818	-0.126741374535606	-0.765540787078098	-2.93149342783666	2.98014486184187	-0.267675627992827	-3.71428489002231	4.80988517337801	-0.686650907695998	-2.43748831920329	3.27976558576066	-1.45550350505964	-9.08326663706226	11.0697956209805	-2.40983004074847	6.55462407859404	-5.01163543295039	1.98126338836596	10.637560393157
brk	brk	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8190	Time	Down	Gd7	Down	Region5115	Gd7	Down	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	-3.24671246810951	-1.37768090205694	0.972527985885329	0.458495776089029	-3.23489815356811	3.22954929856341	0.686131613192812	-4.42575384995753	1.28559761965907	2.59183766205431	-9.03833290558258	5.48767490410781	3.73646505133615	8.15173639204116	9.45777586049516	2.96194781196757	-4.39677222277256
brk	brk.1	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8190	Time	Down	Gd7	Down	Region5116	Gd7	Down	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	-3.24671246810951	-1.37768090205694	0.972527985885329	0.458495776089029	-3.23489815356811	3.22954929856341	0.686131613192812	-2.10279006485141	-0.0862113465988653	2.0128384783278	-6.71536912047646	4.11586593784987	3.15746586760964	5.84975176598748	8.72165933866432	2.62341538659798	-5.65565001861451
brk	brk.2	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8195	Gd7	Down	Gd7	Down	Region5120	Toll9	Up	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	-1.17756482439929	-2.98623651914799	0.893878462923572	2.65128883591661	-4.38832692353336	2.01631209008054	4.09553582694307	-4.50335734483905	-0.577540171235108	4.75117643001153	-11.8779207875204	2.332650381769	11.4980010928712	7.37694921133432	17.3053070700395	0.256333934256741	-1.44099341500376
brk	brk.3	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8196	Toll9	Up	Gd7	Down	Region5122	Gd7	Down	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	1.50988543180832	-2.57426033801473	0.276698247695114	2.95969992171816	-3.60678360212603	1.51757188910378	3.55302195557087	-4.39495403262659	0.588840733228129	3.34485192995813	-10.5759979727674	2.38311087002702	9.85757380724716	6.70288629793674	15.6223087306349	0.626935927649368	-2.42291778967185
brk	brk.4	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8197	Toll9	Up	Toll9	Up	Region5122	Gd7	Down	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	-0.515114919356013	-2.23232228286159	0.0548943158493062	2.81917876378935	-2.03920081809472	0.719374228385064	2.19433308328572	-4.39495403262659	0.588840733228129	3.34485192995813	-8.6664771335829	1.3631092774625	8.3583637770332	4.94544541906811	14.1949978568139	0.645026990804864	-3.75027217488448
brk	brk.5	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8197	Toll9	Up	Toll9	Up	Region5123	Gd7	Down	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	-0.515114919356013	-2.23232228286159	0.0548943158493062	2.81917876378935	-2.03920081809472	0.719374228385064	2.19433308328572	-2.46873670120248	0.363139741216243	1.84257866810034	-6.74025980215879	1.13740828545061	6.85609051517541	3.69426399743677	12.5115880772759	0.872048438865122	-4.96844381666666
brk	brk.6	FBgn0024250	Literature & This	Gd7	Down	Gd7	Down	Region8197	Toll9	Up	Toll9	Up	Region5124	Toll9	Up	-0.342293787352391	-9.29152079676532	3.60956940198495	7.71649711598811	-0.556654591079361	-1.73648308749841	0.451057973916848	1.68726057019792	-0.515114919356013	-2.23232228286159	0.0548943158493062	2.81917876378935	-2.03920081809472	0.719374228385064	2.19433308328572	-3.48019818495101	-0.813619722069897	4.08346073287249	-7.75172128590732	-0.0393511778355268	9.09697257994756	3.41705171063031	14.9198257123444	0.0315758458796327	-4.0811745702775
CG9650	CG9650	FBgn0029939	This	Gd7	Down	Time	Up	Region8190	Time	Down	Gd7	Down	Region5115	Gd7	Down	2.36800211482206	-3.68892785733371	2.02374476854946	2.25808077130344	2.14708357126518	-2.02797071229202	1.13934176651842	0.981355555970316	-3.24671246810951	-1.37768090205694	0.972527985885329	0.458495776089029	-3.23489815356811	3.22954929856341	0.686131613192812	-4.42575384995753	1.28559761965907	2.59183766205431	-9.03833290558258	5.48767490410781	3.73646505133615	6.00288623757062	6.03010137381031	0.746948919207159	2.11626794918789
CG9650	CG9650.1	FBgn0029939	This	Gd7	Down	Time	Up	Region8190	Time	Down	Gd7	Down	Region5116	Gd7	Down	2.36800211482206	-3.68892785733371	2.02374476854946	2.25808077130344	2.14708357126518	-2.02797071229202	1.13934176651842	0.981355555970316	-3.24671246810951	-1.37768090205694	0.972527985885329	0.458495776089029	-3.23489815356811	3.22954929856341	0.686131613192812	-2.10279006485141	-0.0862113465988653	2.0128384783278	-6.71536912047646	4.11586593784987	3.15746586760964	3.70090161151694	5.29398485197946	0.408416493837564	0.857390153345947
CG9650	CG9650.2	FBgn0029939	This	Gd7	Down	Time	Up	Region8195	Gd7	Down	Gd7	Down	Region5120	Toll9	Up	2.36800211482206	-3.68892785733371	2.02374476854946	2.25808077130344	2.14708357126518	-2.02797071229202	1.13934176651842	0.981355555970316	-1.17756482439929	-2.98623651914799	0.893878462923572	2.65128883591661	-4.38832692353336	2.01631209008054	4.09553582694307	-4.50335734483905	-0.577540171235108	4.75117643001153	-11.8779207875204	2.332650381769	11.4980010928712	5.22809905686378	13.8776325833546	-1.95866495850367	5.0720467569567
