Toll10b_R1_CBP	Toll9_R1_CBP	Gd7_R2_CBP	Gd7_R1_CBP	Toll9_R2_CBP	Toll10b_R2_CBP
Region1019	8.48869097511056	7.71398387017649	7.24046372506921	7.22244875847191	7.90247910036836	8.61024805102183
Region102	7.18648771917194	7.45317112485928	7.40271280659536	7.22446820557411	7.72177008917159	7.69991086243774
Region1020	8.32479097113226	6.54441501987754	5.5371819359045	5.52394563053687	6.6952521196982	8.39813274674779
Region1021	8.10085738642306	6.29120212609155	6.14647301073591	6.02834757743884	6.32963745613756	8.09838609440641
Region1022	7.07938122192324	7.1200610854482	7.14819889626559	7.09160751717448	7.04438912590627	7.12844668570281
Region1023	6.41169716476051	6.30380412688574	6.7341087085639	6.50833720805208	6.43172308240869	6.68313328222502
Region1024	7.62122274874297	8.15153455196309	8.39345208535943	8.313887787301	8.24928170259409	7.72540988029912
Region1025	6.53180089551162	6.33905736771765	6.37927328066607	6.31505065674838	6.27824707742858	6.51298605836699
Region1026	5.6280730201788	5.14876680611207	5.19504635284841	5.11303851269199	5.14418425370374	5.50493025623075
Region1027	7.72049358280492	7.90757527226266	7.65176757827839	7.62084254524203	7.81501575525924	7.78742387350634
Region1028	6.16923068786805	5.87069721181688	6.53481061323314	6.31948324440248	5.9889720783977	6.0524295488828
Region1029	5.47691020405172	5.76008074538148	5.86684549148045	6.0657499547302	5.89482524021388	5.91350401351046
Region103	8.1088306937434	8.03249600620813	8.00147920044822	7.92300379894412	7.92417630196931	8.32169424633572
Region1030	6.89438022048058	7.08367718482591	7.16213804183512	7.09048596664241	7.12168767464171	7.04395914365344
Region1031	7.85388096627209	7.66198480484924	7.66303923376341	7.61431496168392	7.66219970643865	7.87348253343052
Region1032	5.96719179292002	5.69678077469556	6.60010163491419	6.45109636811865	5.60660135347309	6.31576936307586
Region1033	6.93782890573909	7.3099917109788	7.80463909190635	7.8161176071123	7.11472239092379	6.97350233197595
Region1034	8.66743311772971	8.95073875009564	8.48906775346473	8.54973337276909	9.05394891229357	8.73809523668421
Region1035	7.27627568249158	7.35481291050027	6.91305938017993	6.86728340440972	7.43512242983512	7.24754567059374
Region1036	7.89914154240396	7.48101096962712	6.29575138637545	6.315954538751	7.37025699137723	7.96176614722104
Region1037	8.11120080184513	7.9643195790047	7.77146451626543	7.7041810774849	7.98384431163008	8.12294293418876
Region1038	7.43883677537154	7.26282576964229	6.85629919450675	7.39926557711837	7.19965124928446	7.06080750739536
Region1039	8.91154854748619	8.94705734937782	8.85505099492367	8.83889309286838	8.83259650596119	8.92105854238243
Region104	5.9675279282697	5.89344673751006	6.17689451782744	6.10901645951253	5.82878480425232	6.16630878805093
Region1040	6.82203685169644	7.10794115317705	6.98766016969187	6.98684146216761	7.24692063727966	6.87854832526093
Region1041	5.88660441442677	5.61746134065793	6.60951061245049	6.59308808204236	5.87292682739392	5.86905335801889
