geneID	PPC_Gd7	PPC_Time	PPC_Toll10b	PPC_Toll9	PPC_factor	PPC_direction
FBgn0000557	2.05841589120858	-2.36629492926523	-0.319200149986641	-2.34801049732623	Time	Down
FBgn0000559	0.201267992655253	0.173536920182831	0.17533933839106	-0.563105635167466	Toll9	Down
FBgn0000562	-0.396257133405248	0.31733073405669	0.223883286375929	0.189717327298125	Gd7	Down
FBgn0000565	0.558853180087571	-2.02477685691595	0.058842218982001	-0.872426129842127	Time	Down
FBgn0000566	1.01739909865481	-1.05269345638348	-0.0725454301181474	-1.29814744754204	Toll9	Down
FBgn0000568	-1.85747351942802	-3.16833809448781	2.32322568089768	-1.1674673628687	Time	Down
FBgn0000575	0.502762679774297	0.422515476401633	-0.635996039669328	0.327573170540376	Toll10b	Down
FBgn0000576	1.05837167855534	-0.341777387904755	-1.10670411578274	0.314738037033947	Toll10b	Down
FBgn0000577	1.39606125302187	-1.12891047195885	-1.21183776615759	0.0147451491988628	Gd7	Up
FBgn0000578	-0.044100467387765	0.0798691036940776	-0.388340395453127	0.688410406647553	Toll9	Up
FBgn0000581	-0.453731481260308	0.543698302228477	0.0382898304985748	0.569351396405763	Toll9	Up
FBgn0000588	-0.114816346717085	-0.307810274728933	-0.109376861828179	0.336332814000328	Toll9	Up
FBgn0000606	0.429114104644792	-1.79147324073279	-0.0171384393184886	-0.569260218138767	Time	Down
FBgn0000611	0.541620154100307	0.135893410871552	-0.159275998132814	-0.496252606634055	Gd7	Up
FBgn0000617	0.739738236247106	-0.661451438029735	-0.162734439058918	-0.766267216974116	Toll9	Down
FBgn0000629	-0.482279550089759	-0.383628279316663	1.16342842927547	-1.20772517012707	Toll9	Down
FBgn0000635	0.27183247097032	0.196211448209763	0.41893259557425	-1.05460291035244	Toll9	Down
FBgn0000658	0.591258905456636	-0.259683027032576	-0.484100639916127	-0.0408018680265445	Gd7	Up
FBgn0000659	-0.460658532743645	0.209885378719067	0.470376607889871	-0.118713781013238	Toll10b	Up
FBgn0000662	0.179651090767827	0.181816716367581	-0.252571586279989	0.157923746746824	Toll10b	Down
FBgn0000667	0.182986804809074	-0.447696013892209	-0.58418994406295	0.688755916677349	Toll9	Up
FBgn0000709	-0.809401137834418	0.000404595253624363	-0.331187331138613	1.66072201414863	Toll9	Up
FBgn0000719	0.366333019101863	0.345505547302616	0.291937955367718	-0.980999768936189	Toll9	Down
FBgn0000721	0.119107536250628	-2.90535370894698	-1.26399226944653	1.87531115737132	Time	Down
FBgn0000723	0.842338764508783	0.623522144237751	-0.657570382912778	-0.109969309624265	Gd7	Up
FBgn0000810	-0.474946136665749	0.713565254559743	0.757132237441681	-0.561869978161793	Toll10b	Up
FBgn0000996	-0.0489371199852981	-0.352982218608031	0.308977856488432	-0.430838567964999	Toll9	Down
FBgn0001075	0.553799020342699	0.803188113348579	-1.17790508238083	1.13161133904942	Toll10b	Down
FBgn0001077	1.46967167495004	-3.29825179330963	-1.18271583624238	-0.134677091933962	Time	Down
FBgn0001084	0.253826123555559	-0.602379440275709	0.184535882440535	-0.651068338098838	Toll9	Down
FBgn0001085	0.0999710880184806	0.827198416094974	0.0183658008535692	-0.168723971725298	Time	Up
FBgn0001086	0.441970424243989	-0.0244003036814123	-0.0272921122629545	-0.570749059294278	Toll9	Down
FBgn0001090	1.85366994457461	-1.53691612486924	-1.83968528331914	0.391973721315233	Gd7	Up
FBgn0001099	2.29639204371137	-9.37847925149793	-0.342022514226469	-2.64220365138134	Time	Down
FBgn0001104	-0.222911809344817	0.208040053746154	0.0966866483730024	0.153966874832811	Gd7	Down
FBgn0001105	-0.0435641271048074	0.762419450966604	-0.525109889421816	0.90850942396547	Toll9	Up
FBgn0001108	0.75166414052416	-0.908117318640318	-0.819154073952095	0.277079991088529	Time	Down
FBgn0001123	0.00832544993001484	-0.173718409907171	-0.00722587352743774	8.63917870842328e-05	Time	Down
FBgn0001128	1.14250492941387	1.11628018287149	0.264354639392284	-2.01618120226863	Toll9	Down
FBgn0001133	-0.545722450021381	0.063929737994381	1.01822317242259	-0.885004171293814	Toll10b	Up
FBgn0001138	2.11213259379271	-0.035560937162083	-1.86868464406149	0.0792562645367193	Gd7	Up
FBgn0001139	0.067621687159513	0.286143077795521	-0.367124920283244	0.498738265402957	Toll9	Up
FBgn0001142	-1.25979913936767	1.73015856281822	1.66594932435798	-0.937562552157215	Time	Up
FBgn0001145	-3.27853137097569	2.08740597822315	2.41308230813314	0.664250795069142	Gd7	Down
FBgn0001148	-0.0716361854039278	-0.546617032373565	-0.427195937379994	0.789455936200228	Toll9	Up
FBgn0001150	1.39557030975532	-2.09114049802724	-1.25231437273634	0.0807866787665499	Time	Down
FBgn0001168	0.521100599182044	-0.844002451279477	-0.274360785382105	-0.28187789140133	Time	Down
FBgn0001169	-0.951187778156828	0.345355232579991	0.72547050981147	0.151747483747469	Gd7	Down
FBgn0001179	0.5143271158082	-0.547986058432556	-0.727676332040672	0.459524514061971	Toll10b	Down
FBgn0001180	0.734105917592421	-3.46983535200182	-1.35244050638211	1.16261586643196	Time	Down
