gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0000146	6.79065764040843	6.73046614543404	6.31583809662155	7.41264789942095	6.10865193299164	6.04693467057458	7.16879411080053	5.97642576537834	6.5249567653073	6.47510684956797	6.95571501621916	6.80480411148725
FBgn0000147	7.09072338161432	7.13963380881104	7.93826072546033	7.7483253174933	7.29167835553955	7.19913728629959	7.63584167692019	8.04001107390688	7.06815534346171	7.18798788612204	7.62062176151094	7.69528442673807
FBgn0000150	8.72124652212348	8.78226658078502	9.43848869602079	9.3071832370276	9.08457695460741	9.07519720993803	9.51095471626996	9.45674123142742	8.8118753412751	8.83706921478363	9.48220026179898	9.04929603179004
FBgn0000152	7.23519730186231	7.27128368486928	6.85963459392482	7.14241927626852	7.04653840580709	6.91661782869028	6.99168779992042	6.8276034292537	7.08116204486062	7.07318572263178	7.07172932500374	7.09169064281653
FBgn0000157	6.60458246505605	6.54829141627608	4.04640396374489	6.33169265789124	4.45782554330178	4.21328464289537	6.13376108653431	4.16575315398368	4.68153027459435	4.64166780381473	4.87611028466302	5.03424230882517
FBgn0000163	10.7030736768788	10.7071756573078	9.344573215815	10.0182111548511	9.53792522699677	9.48372990962178	9.88200726761789	9.39217229041675	9.67335056452792	9.65204047511559	9.58184681553964	9.74573363780912
FBgn0000179	4.97439440245685	5.03285464754694	5.14193906802376	6.51710473803276	5.04236348904443	4.93618499177138	6.49044716841562	4.8773469196256	4.65135059335288	4.90768678677124	5.08744432323454	5.11658326932763
FBgn0000180	11.1887168990409	11.0292554038421	10.7893508406332	10.8450653405176	11.0731105443371	11.1011996083639	10.7659583174355	10.859174095581	11.4400339486907	11.3665363316585	10.7860424807184	11.1047846635233
FBgn0000181	7.99395695671533	8.01018151108054	8.00538411527257	7.77336790514162	8.08503371231214	8.22914684926656	7.97210814873002	7.98147944093179	8.04390025048647	7.90772574290573	7.76288250045183	7.74944249237439
FBgn0000183	5.41877344250931	5.27594339732817	5.10211114616443	5.26196703471347	5.3309115746864	5.24295136224206	5.10520379132505	4.89892711298098	5.2860851003596	5.17554532462274	5.0461654534362	4.61692770119851
FBgn0000212	8.99453552738722	9.00403393950525	9.78198701269834	9.62139615204661	9.29522948514403	9.31088741725909	9.61353341676592	9.7897982605637	9.34430161044877	9.31258240901324	9.66607074785338	9.86764785071535
FBgn0000216	10.319516558755	10.3634459210246	11.0269642117969	11.1002734281321	10.4039154854434	10.5292898726141	11.1869435472105	11.0704072768856	10.7191245156756	10.7151210110167	11.0747029534521	11.1777479484206
FBgn0000221	7.16441829259656	7.3857019474161	7.11266665940406	7.20569659631934	7.60706311988855	7.48518026030242	7.34033542375885	7.32689764209957	7.52891076040886	7.5461362265431	7.49133280442298	7.25691500643133
