transcriptID	Gd7_PolII_rep1	Gd7_PolII_rep2	Toll10b_PolII_rep1
FBtr0071228	11.0343131811085	11.1646971733344	11.4771233614974
FBtr0071230	6.3551812838096	6.3909584393873	6.39179978511
FBtr0071234	10.3451958836208	10.4564150415144	10.6362099987693
FBtr0071236	5.54399352339024	5.07098763854259	5.15955745947239
FBtr0071239	12.5582421238542	12.1364164962831	12.2579248970739
FBtr0071241	7.51089023138272	7.45985925241951	7.57180282936267
FBtr0071242	8.19755105225739	8.07596095469869	8.12184226780145
FBtr0071245	9.03969699872134	9.02711034324179	9.06911903133595
FBtr0071249	8.75799318670074	8.69034112481222	8.83040373931047
FBtr0071250	9.78716592472019	9.85867450811405	10.0560382658286
FBtr0071267	6.82606889576014	6.96320930450005	6.90478070161731
FBtr0071279	10.842349711132	10.7344753691199	11.2585166578663
FBtr0071280	10.5598331751123	10.6651583971765	10.8193609205233
