ENSEMBL	ENTREZID	SYMBOL	gd7_3h_rep1	gd7_3h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll9_3h_rep1	toll9_3h_rep2	l2fc_toll10b_vs_gd7	padj_toll10b_vs_gd7	l2fc_toll9_vs_gd7	padj_toll9_vs_gd7	l2fc_toll9_vs_toll10b	padj_toll9_vs_toll10b
FBgn0013953	42962	Esp	6.62240699225613	6.83917580640348	7.13995188760466	7.05009776515165	7.39894968883228	7.39673127007684	NA	NA	1.12326253020408	7.27534790652429e-06	NA	NA
FBgn0032490	34724	CG16813	7.55332550479178	7.49182375588571	7.2857177628786	7.24147685783771	6.99679205514961	6.58585374763889	NA	NA	-1.17743019271053	8.25162384847313e-06	NA	NA
FBgn0014024	31448	Rnp4F	6.84853699664517	6.97449383226348	7.35862639974557	7.43287976902913	7.50029738120521	7.55426072301377	NA	NA	1.02800504632354	1.06478907909362e-05	NA	NA
FBgn0032375	34589	CG14932	4.8944000274028	4.87478808158529	4.37134286071876	4.60009723311183	3.95767318684696	4.00396668569207	NA	NA	-2.91455601401739	1.13052810026984e-05	-2.01792248367093	0.0101640478334558
FBgn0259700	7354437	CG42354	5.70174974685869	5.68481430421477	5.81471997770733	5.77716571527521	4.89851040522072	4.89603394266166	NA	NA	-1.94204874179647	1.30209637345009e-05	-2.1379593045559	1.41541297564342e-06
FBgn0033453	36016	CG1667	5.81300293043656	5.91469313058012	5.57185225187018	5.60605625269015	6.56182311395568	6.77971316446183	NA	NA	1.42230827195424	1.49114239379453e-05	2.04534420381565	3.45231378583447e-09
FBgn0003089	40104	pip	5.98220528363631	5.69444665819475	5.90972991861902	6.1979632817075	6.72914054482828	6.63289819557332	NA	NA	1.49026597216939	1.98538577710438e-05	1.07235275640122	0.00490181102349726
FBgn0250826	5740175	CG34160	3.809541446162	3.98181702533287	4.13806519760363	4.20867933848136	4.81956977746033	4.78819184228845	NA	NA	2.88075933435808	2.10960150102593e-05	1.58460409020941	0.0222415752520539
FBgn0028327	326234	l(1)G0320	6.55574801774534	6.50767191235055	6.95797554386742	6.9920695597078	7.14288976061664	7.21974783568025	NA	NA	1.10812349581605	2.26199951366984e-05	NA	NA
FBgn0051538	318790	CG31538	7.34490311140221	7.05795418882442	6.72710532302309	6.87892524411946	6.45242823789622	6.5920015502513	NA	NA	-1.17227055835201	3.04727074785233e-05	NA	NA
FBgn0050344	246552	CG30344	7.11661247118751	7.2575003219932	6.6333986657151	6.57424834986478	6.42934605817035	6.59426037173383	NA	NA	-1.12434502528176	3.66841392265899e-05	NA	NA
FBgn0027364	40297	Six4	6.18708642622302	6.33398476781128	5.73103340041228	6.05662642480065	5.32142959608325	5.56574239272027	NA	NA	-1.61376323843382	4.42619867374181e-05	NA	NA
FBgn0029834	31537	CG5937	6.76554554399349	6.70416208444778	7.3723367435917	7.16409596066144	7.36702037342895	7.33439753524142	NA	NA	1.03260432874437	4.74373947302272e-05	NA	NA
FBgn0003016	34850	osp	5.83579391694323	5.94906837974157	6.17232183671338	6.30532195011807	6.57211643800785	6.62733175722016	NA	NA	1.31974606657768	5.18006225052423e-05	NA	NA
FBgn0261989	36511	CG42807	3.57207536222426	3.7371029173645	3.44738958439187	3.69291528837041	4.70396521721035	4.60239403112868	NA	NA	2.9696303091848	5.97806700411381e-05	3.6555999885813	2.23364962441683e-05
FBgn0023513	31142	CG14803	6.67601235396257	6.58270354401818	7.23309106048743	7.03002055655594	7.20146556533606	7.32071959499294	NA	NA	1.06640141350326	5.98282000656712e-05	NA	NA
FBgn0035724	38761	CG10064	5.79840527078403	5.39160340397458	5.7232077303394	5.71045988441145	6.45788378332678	6.43636934497067	NA	NA	1.51989442663907	6.31215341356042e-05	1.33772632932591	0.000847239083160704
FBgn0032168	34323	CG13126	7.19408399015049	7.0735113837555	6.6948655146252	6.62014201896902	6.51913310390412	6.49815114758161	NA	NA	-1.06469170439605	8.01503108022966e-05	NA	NA
FBgn0035169	38100	CG13890	6.47368643568611	6.39234712445471	6.89323545678534	7.02737302719163	6.98273734906566	7.15500229796648	NA	NA	1.10406241015709	8.57256977546466e-05	NA	NA
FBgn0085370	35107	Pde11	6.8093972674164	6.51162521332485	6.63190960862291	6.57532836440516	5.95843924135624	6.02506766125906	NA	NA	-1.27267207587897	8.69850339960594e-05	-1.14877669414637	0.00087319841727092
FBgn0042133	59171	CG18810	6.88021532744907	6.61043167861661	6.53491542724977	6.59432162179989	7.3741807151763	7.43699431569891	NA	NA	1.03164857066139	9.48361081561407e-05	1.39950834836369	1.62141499220532e-07
FBgn0033240	35753	CG2906	7.09847743766762	7.29831647247821	6.87100588365619	6.82311202799969	6.49312040759343	6.6466630009226	NA	NA	-1.05524327250219	0.000120143448448853	NA	NA
FBgn0052350	317987	Vps11	6.67265053991623	6.70570042289145	6.97323317347265	7.17192907710548	7.32755035556465	7.23540249400546	NA	NA	1.00260174633637	0.000130172814943966	NA	NA
FBgn0003209	44851	raw	6.80290102329994	6.61811688305856	7.10724368796101	7.01198314385501	7.2399863469496	7.40196732306181	NA	NA	1.00354579577967	0.000156221418489098	NA	NA
FBgn0264442	34560	ab	6.42139241819306	6.5505681618963	6.95187329594269	6.83318977883454	7.14897565438045	7.02441722921837	NA	NA	1.04918106358065	0.000162490145458951	NA	NA
FBgn0267861	3354925	Maf1	5.89014630736699	5.95968861466964	5.61035237391144	5.49429704799084	6.63856229462732	6.60509429508918	NA	NA	1.21538635196651	0.00021145493942964	2.06159265459549	2.30706588145359e-09
FBgn0030904	32805	upd2	5.61073347517853	5.67266457512086	5.72053035212702	5.78111473999079	6.25971881209438	6.43112735353055	NA	NA	1.34087193417821	0.000217881012455598	1.10201571662631	0.0048929464886437
FBgn0038505	42094	CG17283	3.40181704380464	3.46687413644857	3.35944130326695	3.40030039766868	4.18229451433096	4.43865871097492	NA	NA	2.93884427987456	0.00024246054162709	3.54375410296157	0.000143271245985032
FBgn0033095	35578	CG3409	5.83371990064666	5.49286866341169	6.0974638437649	6.11418485455712	6.48356064391885	6.32671018399926	NA	NA	1.37527773768808	0.000270745087249416	NA	NA
FBgn0040308	53577	Jafrac2	7.09207318671346	7.0427060487916	6.76442944317515	6.66526453164487	6.36422358384671	6.56106178369756	NA	NA	-1.03078096027332	0.000270745087249416	NA	NA
FBgn0000636	35097	Fas3	4.64571697979539	4.7797282560634	4.74637224268127	4.80120474587646	5.49493638772314	5.49174849694909	NA	NA	1.7871990080955	0.000273168997715284	1.60586298085771	0.00200784132303165
FBgn0039030	42708	CG6660	4.47025285873451	4.6560876085272	4.22879600331222	4.0012629378066	3.72579378569351	3.83756121617159	NA	NA	-2.6489893743119	0.000323718181503613	NA	NA
FBgn0031516	33541	CG9663	5.72413562087217	5.96123946208685	6.1380801396052	6.36291713639493	6.51773073793738	6.49314890855301	NA	NA	1.26103707968601	0.000323933713462844	NA	NA
FBgn0039149	42857	CG18428	5.99220987911771	6.13346377316357	6.05535273318293	6.16765383372876	6.62218048154553	6.80280128463273	NA	NA	1.16453182474321	0.000346449849834938	1.05840028899856	0.00221435434071181
FBgn0052971	318271	CG32971	4.18060208060096	4.25370222026756	4.58858678490368	4.49469158681776	4.91564741791691	4.98577796489336	NA	NA	2.10870213590585	0.000514868792084639	NA	NA
FBgn0039507	43291	mrt	6.19813662792068	6.17275172743236	6.37922784892391	6.52053198767444	6.78643025957818	6.77761565225269	NA	NA	1.05835205195047	0.000607371691332351	NA	NA
FBgn0039994	3355133	conu	6.16543067895439	6.02859465877623	6.13233007164783	6.03701005082918	6.78247485549079	6.68091353385191	NA	NA	1.10036952407703	0.000611505410041967	1.14932076565779	0.000576558456529231
FBgn0028544	34812	CG16884	2.94104319309496	3.05684792437872	3.21919532161599	3.00885448877224	3.8003073863283	3.76156295481447	NA	NA	3.86855881836283	0.000634020057538371	2.58768864342742	0.0140442901116054
FBgn0051619	35424	nolo	5.92176225255458	5.97749978869923	5.40167496344412	5.51065720660149	5.17956141954037	5.3439726146868	NA	NA	-1.40524225334801	0.000774590776578514	NA	NA
FBgn0263782	42803	Hmgcr	6.31075150981954	6.1742378456865	6.38332854055201	6.49979343600817	6.90114013212857	6.77975379491381	NA	NA	1.03625170871135	0.000830687167460687	NA	NA
FBgn0035590	38600	Prpk	7.04311804690401	7.2443477617365	6.83989329033711	6.70341997279178	6.38478637850101	6.69640142986811	NA	NA	-1.00165305588456	0.000879661861134958	NA	NA
FBgn0085305	41934	CG34276	6.00457230969582	6.03427586052066	6.13597507506099	5.9921210756028	5.42477344870413	5.36346675741436	NA	NA	-1.31717856567181	0.000906573380052629	-1.40575108238544	0.000478569883793155
FBgn0036416	39574	CG7924	6.74861662618762	6.7059379714563	6.45714741681429	6.41330825720329	6.18790375490556	6.13129693304225	NA	NA	-1.01683742585399	0.00106957399478487	NA	NA
FBgn0085257	5740377	CG34228	5.95915454709571	5.70141819704097	6.3701688223275	6.23424752050109	6.444368613498	6.49338696022692	NA	NA	1.17210938511472	0.00107654763847585	NA	NA
FBgn0029811	31510	Cpr5C	3.23656774484594	3.22905108009768	3.2154473302263	3.40741852652017	4.06618905587684	3.91866942925129	NA	NA	3.0692806455428	0.00110930322585252	2.45988682536896	0.011238816169009
FBgn0036848	40085	CG10424	6.08911514725155	6.10093826991864	5.81704677745392	5.59548883359553	5.40312679031813	5.4930379177709	NA	NA	-1.29159642878253	0.00119141652352995	NA	NA
FBgn0031858	33951	CG17378	4.10244172798081	4.20276718499145	3.6978653480204	3.69944813702148	3.48936128119926	3.4298603408418	NA	NA	-2.70086229793194	0.00125383500447171	NA	NA
FBgn0005558	43812	ey	4.71287586388271	4.72297854265484	4.69054455631448	4.70333914583177	5.42357813844824	5.43026648928229	NA	NA	1.60490504714634	0.00136684761588012	1.69133788711522	0.00140111912894671
FBgn0030417	32224	CG15725	6.19455561921033	6.21194147825078	5.84726447789961	5.98184842716154	5.49634648453212	5.67297579817282	NA	NA	-1.20862015023202	0.00160094885638051	NA	NA
FBgn0016694	45588	Pdp1	5.2946622120779	5.08660364284116	5.43278683729118	5.49913414645166	5.81575650242633	5.89703223625938	NA	NA	1.37664428271136	0.00185336581028178	NA	NA
FBgn0035166	38097	CG13902	5.67571613028102	5.98001000038333	5.69041883415353	5.64180100576306	6.48674489594793	6.39257738315114	NA	NA	1.14411368174772	0.0019850648874871	1.51659384636946	5.42736290482542e-05
FBgn0001269	36239	inv	4.96752604759358	5.18633593885265	5.21558079765164	5.38045174280703	5.86480507461895	5.61197987548481	NA	NA	1.45561334510004	0.00200207040915219	NA	NA
FBgn0035315	38280	CG8960	9.20053505824267	8.7545649456751	8.35183729919063	8.40154860557976	8.35944762586842	8.12726240012431	NA	NA	-1.1195779777448	0.0020979358609599	NA	NA
FBgn0032587	34985	CG5953	4.79884220172839	4.76774578025079	4.97012687692407	4.95312543306827	5.31680247313799	5.58338160290984	NA	NA	1.55488557128142	0.00237244045905529	NA	NA
FBgn0036481	39648	CG16959	3.8767183021757	4.00871464489327	4.05478300508845	4.10392721675847	4.5493443503394	4.7030552336502	NA	NA	2.08989985089477	0.00241094819891742	NA	NA
FBgn0036569	39762	IleRS-m	5.81207643267868	5.87665624479396	5.79899732258132	5.62328482153601	5.23970147859802	5.24598257070893	NA	NA	-1.29209326626308	0.00277730754936689	-1.04834902269203	0.0353599985144291
FBgn0028979	44272	tio	4.7585926321067	4.96571067876358	4.9545744283946	5.04494914300262	5.44725153543307	5.54686434407791	NA	NA	1.45289276885008	0.00389739812624957	NA	NA
FBgn0035458	38440	ppk27	5.37985612749168	5.1378408030235	5.59011960149933	5.69000582393732	5.76536637852384	5.99937666306017	NA	NA	1.29267080976966	0.00454255976369411	NA	NA
FBgn0036752	39976	Adgf-A	6.46512644465225	6.18194913550773	5.73074230048819	5.90245620442992	5.74478707743418	5.77325680644766	NA	NA	-1.0836933833748	0.00482617779630799	NA	NA
FBgn0039459	43227	IntS12	5.82561652081699	6.00900929556984	6.18929998942677	6.25297715242737	6.37147060283418	6.52806306257986	NA	NA	1.01098688453005	0.00495041741700772	NA	NA
FBgn0052055	39188	CG32055	5.34298972861975	5.27191605908546	5.49880752093844	5.14832831655089	5.98749155727897	5.88774420801761	NA	NA	1.26016831486316	0.00508563086948951	1.21883059760424	0.0111075474569988
FBgn0037153	40453	olf413	5.61018138225797	5.89192018103739	5.70944126409361	5.88623158669211	6.43181399546199	6.22999447427159	NA	NA	1.09771843167377	0.0055962770148132	NA	NA
FBgn0035725	38762	Mis12	5.09149177158827	5.07329212125136	5.35028249565243	5.46847280004672	5.50529650825867	5.84802659427513	NA	NA	1.33686085008872	0.00590566401599035	NA	NA
FBgn0034782	37623	CG12490	3.1053357175484	3.21345057197836	3.19791124462554	3.15516608841322	3.8688575063094	3.70484733244819	NA	NA	2.597074524528	0.00676336949440868	2.51455659476337	0.0152264023004935
FBgn0034566	37374	CG9313	5.14869743898111	4.96757450158903	4.56031877121814	4.8766980093699	4.52715259759938	4.34588667635076	NA	NA	-1.63832360122834	0.00748025153735416	NA	NA
FBgn0033498	36077	CG12209	5.58215767572366	5.46855785861991	5.70920455734194	5.59910476478669	6.17645952989654	6.00215609848231	NA	NA	1.10128832788166	0.00762438373649002	NA	NA
FBgn0038069	41556	CG11608	4.05453391110967	4.13617542497685	3.57291710406816	3.74732740688446	3.47835287039589	3.52318161467037	NA	NA	-2.21808062057531	0.00884012929830611	NA	NA
FBgn0030362	32165	regucalcin	5.48849615971669	5.29253780944968	4.93423366168415	4.94140069297754	4.87757107410859	4.7322798859897	NA	NA	-1.36222274990839	0.00910474525121529	NA	NA
FBgn0033397	35948	Cyp4p3	3.94182988998507	3.95953272977936	3.70166239018611	3.7649965049172	4.60520298196336	4.61546664445516	NA	NA	1.78178080346137	0.00935231022408746	3.03704059490817	0.000117259498554988
FBgn0038218	41735	CG14841	5.02873235718931	5.17991363950133	5.35249946179294	5.27214112003715	5.62131402758835	5.69606867648172	NA	NA	1.22213425054301	0.00989930986619023	NA	NA
FBgn0011706	40015	rpr	5.53204212241005	5.68861881694754	5.17710837769063	5.32661937499866	5.02402106516015	5.06636526245914	NA	NA	-1.24229153770796	0.0103249176813787	NA	NA
FBgn0004841	41286	TkR86C	4.5860391788433	4.81704765134215	4.808005698645	4.7112655753061	5.27223225742461	5.31341039142327	NA	NA	1.39954447237834	0.0107578211519595	1.23208920815471	0.0433841829959414
FBgn0034052	36751	CG8299	3.62272018445221	3.99626204766082	3.30377351394449	3.36533265416304	3.21963299371856	3.22960626670837	NA	NA	-2.4516587000012	0.0107787335075284	NA	NA
FBgn0037487	40868	thw	4.54976945680148	4.62572107140787	4.56520031340356	4.65726947422731	5.17217119982767	5.17334818378088	NA	NA	1.41929491950653	0.0117614669085604	1.34910759009003	0.0277270765534863
FBgn0038886	42538	CG6475	3.48159024543146	3.3969960885862	3.62301585564302	3.80593232502516	3.99643577433351	3.99590621974976	NA	NA	2.30510279161156	0.0118481165832863	NA	NA
FBgn0053105	318890	p24-2	5.52504943214784	5.43939268488698	5.86340695053533	5.87558802201062	5.90193386929964	6.09110857368197	NA	NA	1.05129615204014	0.0132109614870556	NA	NA
FBgn0037436	40783	Hr83	5.31867963322399	5.59699243539969	5.10269376108887	5.01470207375672	4.82945630692502	4.95291136972101	NA	NA	-1.28991594763118	0.0139973776418427	NA	NA
FBgn0017590	42707	klg	5.05863331270214	5.09827991615721	4.77043460705401	4.96097473663692	4.64143517785115	4.36789305281023	NA	NA	-1.48296820704141	0.0145043839961155	NA	NA
FBgn0036348	39495	CG17687	4.56861970074677	4.36667637576614	4.87177882523288	4.86906400151141	5.04566070805682	5.01150391216201	NA	NA	1.48469731276137	0.0150988001343049	NA	NA
FBgn0030040	31779	CG15347	3.96877814290539	3.91667245341179	3.79785695938935	3.57088319702428	3.39421595375862	3.43891883839089	NA	NA	-2.20376556485871	0.0156735320691514	NA	NA
FBgn0033388	35936	CG8046	5.21705909361966	5.30581080953754	4.96977901533182	4.63371405289276	4.56273062706353	4.78250200328419	NA	NA	-1.39169958579553	0.0167483834684529	NA	NA
FBgn0036319	39461	Ent3	5.27097175240782	5.15402334929504	5.54790928855847	5.45659710635511	5.74101831588666	5.72708688597927	NA	NA	1.10884046717236	0.0172769486962278	NA	NA
FBgn0034667	37492	comr	3.81561384410162	3.92467942594887	3.44973586231173	3.39574634435153	3.32081464905293	3.3314775346832	NA	NA	-2.15973981040757	0.01753172190637	NA	NA
FBgn0026582	37407	Hmg-2	6.00607899046327	5.7759937423154	5.43472251433243	5.50734361603374	5.29850888020557	5.45151337603856	NA	NA	-1.06414116826042	0.0176533459530673	NA	NA
FBgn0035543	38544	CG15020	4.57128017552734	4.48403919566791	4.11721729623977	4.12843956574133	3.92895327904384	4.0292527787667	NA	NA	-1.67672962503631	0.0182460392579299	NA	NA
FBgn0037722	41165	CG8319	5.80352182321553	5.79959192669908	5.60961907033605	5.57692188651002	5.32523306923306	5.28319039335262	NA	NA	-1.05033118798588	0.0186350616272796	NA	NA
FBgn0028400	40876	Syt4	4.15951834131877	4.04289463004552	4.35516368947103	4.69843047860055	4.74652339743538	4.54150913116107	NA	NA	1.71543105959453	0.0193807123115347	NA	NA
FBgn0020521	37929	pio	3.94417055604684	4.19947834782049	3.85073570518267	4.09327908527596	4.68177445580395	4.69181220113218	NA	NA	1.67058764696508	0.01962413853453	2.10472341439747	0.00541283763973961
FBgn0010019	30986	Cyp4g1	5.06395767139175	4.90044311729855	5.24918841009072	5.43893090030719	5.42082507467807	5.60946287616853	NA	NA	1.21082726971477	0.0199276852612903	NA	NA
FBgn0030876	32768	CG6762	5.80525679491	6.03554416806904	5.60483945012646	5.48129688411836	5.49056377812274	5.31169457213648	NA	NA	-1.04377043291924	0.0212044785536392	NA	NA
FBgn0003046	33985	Pcp	6.02043003531604	6.04429653917227	5.58274502127193	5.62361966672626	5.67217951724555	5.34297876644343	NA	NA	-1.00681660579259	0.0222785088523433	NA	NA
FBgn0046874	3771985	Pif1B	5.06412995990453	5.07818333122842	5.09004217984221	5.42449688984893	5.6173699265121	5.57762814543671	NA	NA	1.1608986979157	0.0226009954082103	NA	NA
FBgn0030016	31750	Or7a	4.57765329105599	4.74544356057556	5.00414177857919	4.936415081591	5.24049013682595	5.09649855471167	NA	NA	1.30303792810261	0.0234501437400198	NA	NA
FBgn0032797	35238	Hasp	4.76546097697114	5.15059631523024	5.33995682647419	5.37185373389951	5.69345613266483	5.28533502638155	NA	NA	1.26974460129367	0.0243246017591584	NA	NA
FBgn0029706	31377	CG3626	5.2390497323832	5.35924986117018	5.49808382458691	5.66966955160847	5.76706087986013	5.79738113851549	NA	NA	1.03676580661055	0.0248633088594051	NA	NA
FBgn0035091	38000	CG3829	5.20219797805708	5.15842495569109	5.35857081610585	5.3489356380719	5.5626642057353	5.79419808714994	NA	NA	1.07615184411137	0.0267407507277289	NA	NA
FBgn0022740	37027	HLH54F	4.88038393946823	4.85070981540255	5.29384094192008	5.24265966011083	4.49573338210657	4.32279862841202	NA	NA	-1.40249838814093	0.0275781288789084	-2.27360929883475	3.9845482813249e-05
FBgn0032864	35316	CG2493	5.13869214309554	5.2707895627822	4.8803831225345	4.82327330089969	4.63619920699997	4.7439944856434	NA	NA	-1.24488135248098	0.0278957444140649	NA	NA
FBgn0038784	42410	CG4362	5.5278677922103	5.59097612754498	5.27801692009645	5.23757654536355	5.07647555583305	5.06327267429962	NA	NA	-1.0799142679986	0.0289048310707467	NA	NA
FBgn0001226	39078	Hsp27	5.23491806008458	5.18105687982847	4.79079567827958	4.7411810563581	4.74769852607321	4.64060001431862	NA	NA	-1.22676573626953	0.0291182129417905	NA	NA
FBgn0010226	36927	GstS1	4.69479270318602	4.74480871973799	4.23317174488985	4.4944911514845	4.129634245355	4.25212745589958	NA	NA	-1.50371927507877	0.0292322223878695	NA	NA
FBgn0262477	41182	FoxP	4.13963257138493	4.08436975687707	3.77928626184864	3.77574135257764	3.69323476950407	3.51641331884431	NA	NA	-1.83255766033955	0.0311207158565161	NA	NA
FBgn0001224	39077	Hsp23	5.53258663517182	5.75987126506476	5.18185877884558	5.33368044487115	4.98092201768806	5.28137680415589	NA	NA	-1.1118518933852	0.0325046749463011	NA	NA
FBgn0259992	8674035	CG42489	4.40523101709242	4.19156435543385	4.7416558997581	4.5033293235027	4.93536147201932	4.71726428366244	NA	NA	1.47829808467387	0.0329060853977307	NA	NA
FBgn0038660	42266	CG14291	5.1552079412209	5.22201406103708	4.55182798919437	4.93325860100385	4.66969300542955	4.64686245942763	NA	NA	-1.27615925698014	0.034233451711667	NA	NA
