ENSEMBL	ENTREZID	SYMBOL	toll10b_5h_rep1	gd7_5h_rep2	gd7_5h_rep1	toll10b_5h_rep2	toll9_5h_rep1	toll9_5h_rep2	l2fc_toll10b_vs_gd7	padj_toll10b_vs_gd7	l2fc_toll9_vs_gd7	padj_toll9_vs_gd7	l2fc_toll9_vs_toll10b	padj_toll9_vs_toll10b
FBgn0030900	32801	Him	7.9050013344494	4.43850164854925	4.41745002296503	7.7463799817354	4.5946277060511	4.36055518394573	6.36173609892649	1.8144612671605e-37	NA	NA	-6.53686768592561	6.74565983990613e-31
FBgn0039039	42717	lmd	7.81156271162643	4.87067323086529	5.10616979628596	7.58568844219209	5.11703953952612	4.96285458743586	4.57808733945077	1.18592094848088e-35	NA	NA	-4.59453437597042	7.87771624288054e-32
FBgn0028999	44786	nerfin-1	8.41734950808419	6.31641993646338	6.32034019209037	8.33788176765203	7.67411110386185	8.14941378487597	3.45354300359211	1.35958061860909e-32	2.84283546466674	1.61379140460449e-21	NA	NA
FBgn0262867	35546	Ptr	7.75801498724629	9.57024871871695	9.36313439644649	7.78154048935953	8.37466356413162	8.60378288237477	-2.53862538522755	3.59741640851932e-32	-1.37322492598854	4.13183432582887e-10	1.165400459239	2.32549033263503e-06
FBgn0034501	37302	CG13868	5.51192509403799	7.82772977890719	7.69600727761736	5.35706813562646	5.86716206231604	5.89759743719291	-3.97845499935653	6.16922210180972e-32	-2.93274058901502	4.85390345238007e-22	1.04571441034151	0.0406367212501575
FBgn0040089	53448	meso18E	7.50914071640718	5.0800586302561	5.28751972462053	7.65044564012506	5.35003802946614	5.11494138769321	4.0015226383043	1.3801178575068e-30	NA	NA	-4.00444623595334	1.20851046004098e-27
FBgn0003486	38631	spo	5.39011294609923	8.07860736446066	7.67947380786758	5.60586607931378	6.06298693084085	5.88372201981269	-4.04476258398329	1.77609040227014e-30	-2.97769810517033	2.27765505489592e-20	1.06706447881296	0.0431961657261432
FBgn0014179	34277	gcm	7.55086939990969	5.53777524103575	5.46722390587815	7.6463882988098	6.74770200209055	6.9714612873938	3.86735036264992	1.14618688723063e-29	2.79743765315239	1.03148371086206e-14	-1.06991270949753	0.0010395455575262
FBgn0003463	32498	sog	8.47363198185952	6.88013114132204	6.49722436393276	8.68380435458162	7.85922696702706	7.89888829347359	3.00237235440155	1.91679331388615e-29	1.99917847046846	1.86961237316146e-12	-1.00319388393309	0.000640880278336378
FBgn0003900	37655	twi	7.18849357887204	4.60495771635352	4.53642588440096	7.19142265785324	4.65674150001078	4.63670637411715	4.83473869815052	6.00203564697474e-29	NA	NA	-4.68845100394241	1.87450705753102e-25
