K27me3	geneID	K27me3_PC1	K27me3_PC2
Region1218	FBgn0004878	-0.12096690416491	-1.06180624014978
Region1350	FBgn0001138	1.37446197051869	2.03600019923276
Region1351	FBgn0001138	1.01723908043671	1.55443344266925
Region1421	FBgn0003651	0.12213652562723	-0.737812106607411
Region1422	FBgn0003651	0.109627808946702	-0.640555572142183
Region1429	FBgn0003651	-1.23090289386234	-0.143240387915535
Region1430	FBgn0003651	-0.661693038720319	0.123095015782685
Region1431	FBgn0003651	-0.427267501017616	-0.0498380196951495
Region1434	FBgn0004666	-0.458225783066241	-0.748152723126573
Region1435	FBgn0004666	0.0365248148108561	-0.525327292188479
Region1436	FBgn0004666	0.456840518589975	-2.01859759973165
Region1437	FBgn0038134	1.68078190767359	-0.958820032238872
Region1438	FBgn0038134	1.82781827786106	-0.884592905540375
Region1450	FBgn0000576	-0.280348009769359	0.150299333087655
Region1451	FBgn0000576	0.676753021690156	0.667130981129217
Region1485	FBgn0003117	0.406761124469867	0.75775748392937
Region1486	FBgn0003117	0.332885863567625	0.28276306564167
Region1487	FBgn0003117	1.09604966883474	1.03175737034748
Region1489	FBgn0003117	1.31540429842223	0.852282372004577
Region1490	FBgn0003117	0.945954520460013	0.338277134373638
Region1598	FBgn0264005	0.363400407134933	0.447426721097751
Region1599	FBgn0264005	2.15474569911168	1.65933151100651
Region1638	FBgn0004110	0.143258540871483	-1.76313445580822
Region1663	FBgn0004863	0.404845793757756	1.18776673730245
Region1664	FBgn0004863	0.615353639627335	1.17671308771208
Region1686	FBgn0004644	-0.243157182470146	0.626153676398211
Region1687	FBgn0004644	-0.427757328023368	0.633261515793557
Region1697	FBgn0003118	-0.0109963698481061	-0.282841488365948
Region1698	FBgn0003118	0.101824193575757	-1.57112805000652
Region1704	FBgn0003118	-0.023241784876707	-0.994114685913772
Region1705	FBgn0003118	0.18405899014839	-1.48472800783453
Region1707	FBgn0003719	1.39069291597158	1.95934302829597
Region1712	FBgn0004898	-0.793890012126777	-0.707491493503084
Region1717	FBgn0002609	-0.744205735899155	0.30636827273646
Region1754	FBgn0000492	-0.817234154009584	-0.791899767935617
Region1755	FBgn0000492	-0.991413965864182	-0.423847443059581
Region1778	FBgn0004606	0.861586836832382	-2.88532059096476
Region1779	FBgn0004606	-0.0883171404590996	-3.61341293366266
Region1820	FBgn0005558	-0.453789443274771	0.709147837229992
Region1829	FBgn0039937	0.203432137217045	0.619883810838094
Region1830	FBgn0039937	-0.68330997030021	0.270444377812338
Region1832	FBgn0019650	0.0524727256989522	1.18784400454272
Region1846	FBgn0261930	-0.262596191642099	-0.070341857823791
Region1847	FBgn0261930	-0.146431756296479	-0.0343296091450868
Region1848	FBgn0261930	0.608138628845263	-1.66404348826907
Region1968	FBgn0029939	-0.11015857902925	-1.32059791277189
Region2089	FBgn0003463	0.0715325241296266	-0.0447145426034047
Region2163	FBgn0030904	-0.326643185138439	0.623508768004282
Region2164	FBgn0030904	-0.176688674539926	0.0370849743709035
