Geneid	K27ac_Geneid
Region1548	Region504
Region1552	Region505
Region1552	Region506
Region1552	Region507
Region1552	Region508
Region1554	Region509
Region1555	Region510
Region1557	Region511
Region1559	Region512
Region1562	Region513
Region1563	Region514
Region1563	Region515
Region1565	Region516
Region1571	Region517
Region1571	Region518
Region1572	Region518
Region1572	Region519
Region1572	Region520
Region1576	Region521
Region1577	Region522
Region1578	Region523
Region1578	Region524
Region1589	Region525
Region1590	Region526
Region1590	Region527
Region1591	Region528
Region1591	Region529
Region1594	Region530
Region1594	Region531
Region1595	Region532
Region1596	Region533
Region1596	Region534
Region1598	Region535
Region1599	Region536
Region1601	Region537
Region1603	Region538
Region1605	Region539
Region1607	Region540
Region1608	Region541
Region1608	Region542
Region1608	Region543
Region1608	Region544
Region1609	Region545
Region1609	Region546
Region1611	Region547
Region1611	Region548
Region1611	Region549
Region1612	Region550
Region1615	Region551
Region1618	Region552
Region1619	Region553
Region1620	Region554
Region1620	Region555
Region1622	Region556
Region1624	Region557
Region1624	Region558
Region1625	Region559
Region1626	Region560
Region1626	Region561
Region1630	Region562
Region1631	Region563
Region1631	Region564
Region1632	Region565
Region1633	Region566
Region1635	Region567
Region1635	Region568
Region1636	Region569
Region1637	Region570
Region1637	Region571
Region1642	Region572
Region1643	Region573
Region1644	Region573
Region1645	Region574
Region1645	Region575
Region1647	Region576
Region1647	Region577
Region1648	Region578
Region1649	Region579
Region1649	Region580
Region1650	Region581
Region1651	Region582
Region1651	Region583
Region1651	Region584
Region1652	Region585
Region1652	Region586
Region1654	Region587
Region1657	Region588
Region1660	Region589
Region1662	Region590
Region1663	Region591
Region1665	Region592
Region1667	Region593
Region1672	Region594
Region1672	Region595
Region1672	Region596
Region1672	Region597
Region1695	Region598
Region1696	Region599
Region1696	Region600
Region1700	Region601
Region1703	Region602
Region1703	Region603
Region1704	Region604
Region1705	Region605
Region1706	Region606
Region1706	Region607
Region1713	Region608
Region1713	Region609
Region1714	Region610
Region1715	Region611
Region1715	Region612
Region1718	Region613
Region1718	Region614
Region1721	Region615
Region1723	Region616
Region1724	Region617
Region1738	Region618
Region1739	Region619
Region1741	Region620
Region1742	Region621
Region1743	Region622
Region1743	Region623
Region1745	Region624
Region1746	Region625
Region1747	Region626
Region1750	Region627
Region1780	Region628
Region1780	Region629
Region1783	Region630
Region1783	Region631
Region1784	Region632
Region1821	Region633
Region1821	Region634
Region1824	Region635
Region1827	Region636
Region1844	Region637
Region1844	Region638
Region1851	Region639
Region1853	Region640
Region1855	Region641
Region1865	Region642
Region1865	Region643
Region1870	Region644
Region1870	Region645
Region1874	Region646
Region1875	Region647
Region1875	Region648
Region1877	Region649
Region1877	Region650
Region1887	Region651
Region1887	Region652
Region1887	Region653
Region1888	Region654
Region1888	Region655
Region1889	Region656
Region1892	Region657
Region1906	Region658
Region1906	Region659
Region1907	Region660
Region1907	Region661
Region1907	Region662
Region1911	Region663
Region1911	Region664
Region1911	Region665
Region1931	Region666
Region1947	Region667
Region1947	Region668
Region1948	Region669
Region1949	Region670
Region1964	Region671
Region1968	Region672
Region1970	Region673
Region1970	Region674
Region1972	Region675
Region1973	Region676
Region1975	Region677
Region1994	Region678
Region1995	Region679
Region2008	Region680
Region2009	Region681
Region2012	Region682
Region2012	Region683
Region2019	Region684
Region2021	Region685
Region2023	Region686
Region2024	Region687
Region2027	Region688
Region2029	Region689
Region2032	Region690
Region2032	Region691
Region2032	Region692
Region2033	Region693
Region2034	Region694
Region2045	Region695
Region2045	Region696
Region2047	Region697
Region2051	Region698
Region2051	Region699
Region2051	Region700
Region2051	Region701
Region2052	Region702
Region2053	Region703
Region2053	Region704
Region2054	Region705
Region2056	Region706
Region2058	Region707
Region2059	Region708
Region2082	Region709
Region2093	Region710
Region2098	Region711
Region2101	Region712
Region2104	Region713
Region2106	Region714
Region2108	Region715
Region2109	Region716
Region2109	Region717
Region2113	Region718
Region2113	Region719
Region2113	Region720
Region2113	Region721
Region2131	Region722
Region2137	Region723
Region2137	Region724
Region2137	Region725
Region2140	Region726
Region2140	Region727
Region2154	Region728
Region2173	Region729
Region2174	Region730
Region2176	Region731
Region2176	Region732
Region2195	Region733
Region2216	Region734
Region2218	Region735
Region2281	Region736
Region2281	Region737
Region2281	Region738
Region2281	Region739
Region2283	Region740
Region2284	Region741
Region2290	Region742
Region2290	Region743
Region2293	Region744
Region2302	Region745
Region2311	Region746
Region2315	Region747
Region2326	Region748
Region2361	Region749
Region2361	Region750
Region2362	Region751
Region2363	Region753
Region2366	Region754
Region2369	Region755
Region2372	Region756
Region2377	Region757
Region2381	Region758
Region2381	Region759
Region2382	Region759
Region2383	Region760
Region2385	Region761
Region2386	Region761
Region2387	Region761
Region2387	Region762
Region2388	Region763
Region2388	Region764
Region2390	Region765
Region2391	Region766
Region2393	Region767
Region2393	Region768
Region2396	Region769
Region2400	Region770
Region2416	Region771
Region2416	Region772
Region2423	Region773
Region2424	Region774
Region2425	Region774
Region2428	Region775
Region2429	Region776
Region2431	Region777
Region2432	Region778
Region2433	Region780
Region2434	Region781
Region2434	Region782
Region2435	Region783
Region2435	Region784
Region2436	Region785
Region2440	Region786
Region2441	Region786
Region2445	Region787
Region2445	Region788
Region2465	Region789
Region2485	Region790
Region2486	Region791
Region2487	Region792
Region2496	Region793
Region2499	Region794
Region2502	Region795
Region2503	Region796
Region2504	Region797
Region2508	Region798
Region2509	Region799
Region2519	Region800
Region2519	Region801
Region2525	Region802
Region2527	Region803
Region2533	Region804
Region2552	Region805
Region2553	Region806
Region2555	Region807
Region2555	Region808
Region2556	Region809
Region2557	Region810
Region2558	Region811
Region2560	Region812
Region2577	Region813
Region2579	Region814
Region2582	Region815
Region2582	Region816
Region2585	Region817
Region2585	Region818
Region2592	Region819
Region2593	Region820
Region2600	Region821
Region2600	Region822
Region2600	Region823
Region2601	Region824
Region2601	Region825
Region2601	Region826
Region2603	Region827
Region2628	Region828
Region2630	Region829
Region2631	Region830
Region2636	Region831
Region2636	Region832
Region2636	Region833
Region2649	Region834
Region2649	Region835
Region2655	Region836
Region2657	Region837
Region2659	Region838
Region2672	Region839
Region2679	Region840
Region2682	Region841
Region2683	Region842
Region2684	Region843
Region2686	Region844
Region2686	Region845
Region2687	Region846
Region2688	Region847
Region2711	Region848
Region2715	Region849
Region2717	Region850
Region2725	Region851
Region2730	Region852
Region2732	Region853
Region2745	Region854
Region2749	Region855
Region2751	Region856
Region2754	Region857
Region2757	Region858
Region2761	Region859
Region2761	Region860
Region2765	Region861
Region2766	Region862
Region2767	Region863
Region2767	Region864
Region2767	Region865
Region2767	Region866
Region2769	Region867
Region2769	Region868
Region2778	Region869
Region2779	Region870
Region2781	Region871
Region2781	Region872
Region2781	Region873
Region2781	Region874
Region2781	Region875
Region2781	Region876
Region2784	Region877
Region2784	Region878
Region2784	Region879
Region2784	Region880
Region2784	Region881
Region2787	Region882
Region2789	Region883
Region2815	Region884
Region2816	Region884
Region2817	Region884
Region2817	Region885
Region2818	Region885
Region2819	Region885
Region2820	Region885
Region2820	Region886
Region2821	Region886
Region2821	Region887
Region2827	Region889
Region2827	Region890
Region2828	Region891
Region2844	Region892
Region2849	Region893
Region2849	Region894
Region2856	Region895
Region2857	Region896
Region2858	Region897
Region2860	Region898
Region2861	Region899
Region2863	Region900
Region2866	Region901
Region2868	Region902
Region2871	Region903
Region2876	Region904
Region2876	Region905
Region2876	Region906
Region2876	Region907
Region2876	Region908
Region2876	Region909
Region2878	Region910
Region2898	Region911
Region2902	Region912
Region2908	Region913
Region2915	Region914
Region2916	Region915
Region2917	Region916
Region2919	Region917
Region2943	Region918
Region2948	Region919
Region2948	Region920
Region2948	Region921
Region2948	Region922
Region2953	Region923
Region2958	Region924
Region2958	Region925
Region2958	Region926
Region2959	Region927
Region2972	Region928
Region2996	Region929
Region2999	Region930
Region3007	Region931
Region3007	Region932
Region3009	Region933
Region3014	Region936
Region3014	Region937
Region3015	Region938
Region3016	Region939
Region3017	Region939
Region3017	Region940
Region3017	Region941
Region3024	Region942
Region3025	Region943
Region3026	Region944
Region3031	Region945
Region3032	Region946
Region3035	Region947
Region3038	Region948
Region3040	Region949
Region3051	Region950
Region3054	Region951
Region3074	Region952
Region3076	Region953
Region3076	Region954
Region3086	Region955
Region3114	Region956
Region3114	Region957
Region3114	Region958
Region3114	Region959
Region3120	Region960
Region3126	Region961
Region3126	Region962
Region3127	Region963
Region3129	Region964
Region3131	Region965
Region3131	Region966
Region3135	Region967
Region3135	Region968
Region3137	Region969
Region3137	Region970
Region3138	Region971
Region3139	Region971
Region3139	Region972
Region3141	Region973
Region3141	Region974
Region3148	Region975
Region3149	Region976
Region3149	Region977
Region3159	Region978
Region3159	Region979
Region3166	Region980
Region3171	Region981
Region3188	Region982
Region3195	Region983
Region3204	Region984
Region3204	Region985
Region3205	Region986
Region3206	Region987
Region3209	Region988
Region3210	Region989
Region3216	Region990
Region3219	Region991
Region3225	Region992
Region3230	Region993
Region3231	Region995
Region3231	Region996
Region3231	Region997
Region3231	Region998
Region3232	Region999
Region3233	Region1000
Region3240	Region1001
Region3251	Region1002
Region3251	Region1003
Region3255	Region1004
Region3256	Region1004
Region3256	Region1005
Region3256	Region1006
Region3257	Region1006
Region3257	Region1007
Region3257	Region1008
Region3257	Region1009
Region3258	Region1010
Region3258	Region1011
Region3259	Region1012
Region3260	Region1013
Region3261	Region1013
Region3266	Region1015
Region3269	Region1016
Region3270	Region1017
Region3306	Region1020
Region3310	Region1021
Region3310	Region1022
Region3312	Region1023
Region3317	Region1024
Region3318	Region1025
Region3319	Region1026
Region3331	Region1027
Region3333	Region1028
Region3333	Region1029
Region3333	Region1030
Region3337	Region1031
Region3360	Region1032
Region3360	Region1033
Region3362	Region1034
Region3368	Region1035
Region3370	Region1036
Region3372	Region1037
Region3390	Region1038
Region3390	Region1039
Region3397	Region1040
Region3406	Region1041
Region3409	Region1042
Region3410	Region1042
Region3412	Region1043
Region3412	Region1044
Region3429	Region1045
Region3429	Region1046
Region3459	Region1047
Region3480	Region1048
Region3526	Region1049
Region3546	Region1050
Region3548	Region1051
Region3558	Region1052
Region3562	Region1053
Region3571	Region1054
Region3613	Region1055
Region3613	Region1056
Region3654	Region1057
Region3654	Region1058
Region3666	Region1059
Region3707	Region1060
Region3726	Region1061
Region3738	Region1062
Region3738	Region1063
Region3742	Region1064
Region3749	Region1065
Region3760	Region1068
Region3760	Region1069
Region3762	Region1070
Region3767	Region1071
Region3783	Region1072
Region3794	Region1073
Region3795	Region1074
Region3856	Region1075
Region3857	Region1077
Region3857	Region1078
Region3874	Region1079
Region3875	Region1080
Region3886	Region1081
Region3886	Region1082
Region3890	Region1083
Region3894	Region1084
Region3895	Region1084
Region3901	Region1085
Region3910	Region1086
Region3916	Region1087
Region3917	Region1088
Region3920	Region1089
Region3926	Region1090
Region3926	Region1091
Region3932	Region1092
Region3937	Region1093
Region3946	Region1094
Region3950	Region1095
Region3950	Region1096
Region3955	Region1097
Region3958	Region1098
Region3961	Region1099
Region3961	Region1100
Region3962	Region1101
Region3963	Region1101
Region3975	Region1102
Region3980	Region1103
Region3984	Region1104
Region3986	Region1105
Region3998	Region1106
Region3999	Region1107
Region4001	Region1108
Region4004	Region1109
Region4004	Region1110
Region4012	Region1111
Region4016	Region1112
Region4018	Region1113
Region4020	Region1114
Region4021	Region1114
Region4021	Region1115
Region4021	Region1116
Region4023	Region1117
Region4023	Region1118
Region4037	Region1119
Region4038	Region1119
Region4044	Region1120
Region4047	Region1121
Region4050	Region1122
Region4053	Region1123
Region4058	Region1124
Region4059	Region1125
Region4072	Region1126
Region4075	Region1127
Region4075	Region1128
Region4093	Region1129
Region4093	Region1130
Region4099	Region1131
Region4101	Region1132
Region4103	Region1133
Region4113	Region1134
Region4113	Region1135
Region4122	Region1136
Region4125	Region1137
Region4130	Region1138
Region4133	Region1139
Region4141	Region1140
Region4141	Region1141
Region4141	Region1142
Region4161	Region1143
Region4161	Region1144
Region4162	Region1145
Region4163	Region1145
Region4164	Region1146
Region4168	Region1147
Region4168	Region1148
Region4172	Region1149
Region4172	Region1150
Region4192	Region1151
