K27ac	geneID	K27ac_PC1	K27ac_PC2
Region1975	FBgn0034590	-0.696615249758266	0.145522159192529
Region1976	FBgn0034590	-0.75251636682732	2.35955910872751
Region2076	FBgn0028371	3.48711818644354	0.821236055874562
Region2092	FBgn0003900	-6.29106743442931	-2.42927099507723
Region2093	FBgn0003900	-7.74907482471426	-4.95779940285061
Region2190	FBgn0005636	-2.41417288741112	0.0395423955024328
Region2195	FBgn0284252	2.07350119338541	0.342459095992866
Region2304	FBgn0000575	-2.4610444784863	-0.215287215216001
Region2305	FBgn0000575	-0.451497883052848	0.768463590311968
Region2377	FBgn0035348	-2.95408675226593	-0.00158106585771585
Region2378	FBgn0035348	-4.71138329796014	-1.12868789370805
Region2462	FBgn0001257	1.35639041169758	-1.07439476062425
Region2485	FBgn0035558	-1.87375251864198	-1.95171739755803
Region2583	FBgn0268063	-5.5144283997384	-2.23313776189401
Region2584	FBgn0268063	-4.19985206337011	-2.12552661760351
Region2631	FBgn0262719	1.14302361028332	2.41128818638624
Region2763	FBgn0041094	-1.40373573427652	1.45699394046072
Region2764	FBgn0041094	-1.89372983141667	1.35113068575279
Region2881	FBgn0087007	0.210122669333476	-0.26289477160028
Region2914	FBgn0002778	-0.280637485902548	0.0620568360206509
Region2966	FBgn0000489	-4.97471391613506	-2.1440604867842
Region2967	FBgn0000489	-4.54243549656886	-0.915514082087976
Region2968	FBgn0000489	0.152751820440392	-0.229477303901048
Region2969	FBgn0000489	0.743599553377162	-0.814659343763988
Region2979	FBgn0044028	1.17585235233458	-2.47898319221468
Region3148	FBgn0036896	1.59416141867255	0.556761518651302
Region3219	FBgn0037031	0.834917367632685	0.114400401100562
Region3224	FBgn0026179	-0.481449259608903	-0.812945047301183
Region3225	FBgn0026179	-1.85969214240986	1.15897658712076
Region3226	FBgn0026179	0.985717989902464	0.796054008371385
Region3227	FBgn0026179	-0.254324993262755	1.40071939421072
Region3228	FBgn0026179	2.03602021365352	-2.42176607724158
Region3291	FBgn0016034	-2.06238783410301	-0.650210078764357
Region3303	FBgn0037207	-4.16452222198294	-2.04115211620858
Region3304	FBgn0037207	-3.48391487012637	-1.78475822781751
Region3794	FBgn0037819	-5.45393435126947	-1.3089751283057
Region3795	FBgn0037819	-3.28654313652699	-1.08429516845983
Region3865	FBgn0260745	1.3330593217526	1.26409560151072
Region3873	FBgn0038038	0.359003302007278	2.23696062925478
Region3889	FBgn0038071	-0.294670436145593	3.14147321472204
Region3890	FBgn0038071	-0.0790265275895978	0.227104495697334
Region3909	FBgn0003308	0.823649940390457	0.517738272321147
Region3910	FBgn0003308	-2.74718300854722	0.58613235535951
Region3921	FBgn0038150	2.88394502010318	0.518321693693778
Region3922	FBgn0038150	2.63729523243674	0.378204230559381
Region3932	FBgn0085412	1.21864626294772	2.05260021968306
Region3958	FBgn0020299	-0.898644577163424	0.484811825440393
Region3961	FBgn0020299	-4.47572946233803	-3.73477128972836
Region3962	FBgn0020299	-5.5991547900311	-3.11375384982738
Region3963	FBgn0020299	-4.1724667735852	-2.41082130870711
Region4029	FBgn0003483	0.711138846111632	0.161876830210923
Region4030	FBgn0003483	1.47812502977577	-0.2481366836569
Region4038	FBgn0003117	0.625909449470349	7.14618291929863
Region4052	FBgn0040271	0.0381243646583886	-1.61886743827337
Region4053	FBgn0040271	0.360873499521821	-0.93996421618592
Region4096	FBgn0020493	-0.204757551341889	2.46263906785857
Region4129	FBgn0010389	-6.23821206553461	-2.47391283433101
Region4131	FBgn0010389	-5.75074083420166	-1.98606062123949
Region4225	FBgn0262582	0.477446581933239	0.562755261584489
Region4227	FBgn0262582	2.59610908219275	-0.129800377129361
Region4228	FBgn0262582	1.32888426039909	-1.01430191871065
Region4229	FBgn0262582	2.0820779447254	-1.23786124154659
Region4285	FBgn0004110	-0.942417267306071	0.594142125775712
Region4307	FBgn0266581	-0.264501412392538	0.687301262894502
Region4308	FBgn0266581	-0.547843245071526	-1.08477124249119
Region4371	FBgn0003118	-0.370923949804571	-1.07018828638147
Region4372	FBgn0003118	-0.216095476206628	0.275770614282332
