geneID	ChIP_region	ChIP_factor	ChIP_direction	Gd7	Toll10b	Toll9
FBgn0265140	Region14038	Toll9	Up	-1.96658354893313	0.216076860950768	2.56611368020255
FBgn0265140	Region14039	Toll9	Up	-2.58420807944587	-0.498069390215437	4.44333174629645
FBgn0265140	Region14040	Toll9	Up	-4.54068776964945	1.08464176138277	5.12252952120896
FBgn0265140	Region14043	Toll9	Up	-1.31280836223403	-0.0258020612179621	1.94598257004381
FBgn0003117	Region14235	Gd7	Up	2.09863847613037	-1.24158940793993	-1.35341016122293
FBgn0003117	Region14236	Gd7	Up	6.73911817509859	-4.1323743742518	-4.14686180592567
FBgn0003117	Region14240	Gd7	Up	2.87702940610007	-1.93094041731858	-1.54189333841961
FBgn0003117	Region14242	Gd7	Up	6.17713608029312	-4.41703487981627	-2.93899558566327
FBgn0003117	Region14244	Gd7	Up	2.92301873217718	-2.7099579919999	-0.541615691130925
FBgn0003117	Region14245	Gd7	Up	3.3563000337766	-2.91011278524959	-0.898004054073318
FBgn0003117	Region14246	Gd7	Up	2.16304117031061	-1.09888007584124	-1.64264420031973
FBgn0259244	Region14336	Toll10b	Down	1.41636859125783	-2.02633374501477	0.714606816698862
FBgn0020493	Region14469	Gd7	Up	4.27309961649547	-3.12188981750233	-1.94217351731252
FBgn0264005	Region14506	Toll10b	Down	0.780602292688284	-2.67449273827726	2.52782927597219
FBgn0010389	Region14592	Toll10b	Up	-0.969767766512675	1.92776016818384	-1.2295406158105
FBgn0014135	Region14822	Gd7	Up	2.35458921480254	-1.46513619329454	-1.41966945087309
FBgn0014135	Region14824	Gd7	Up	4.26815505610879	-1.98939393956473	-3.48643199503099
FBgn0014135	Region14826	Gd7	Up	2.69060595357635	-2.20076691554175	-0.900929451026324
FBgn0014135	Region14833	Gd7	Up	3.48910444545812	-1.98929340364414	-2.35275493591853
FBgn0004110	Region15045	Toll10b	Up	-0.953391625600124	2.36373798412688	-1.85063884168833
FBgn0004110	Region15051	Toll10b	Up	-1.08079313784091	2.21628086195882	-1.46321337255994
FBgn0004863	Region15086	Gd7	Up	6.65391775345142	-4.63552028976735	-3.33358162720814
FBgn0004863	Region15087	Gd7	Up	1.95435348493188	-0.696254864739887	-1.89049783859335
FBgn0004863	Region15089	Gd7	Up	2.28073207076888	-1.75020246066826	-0.921654719784366
FBgn0004863	Region15091	Gd7	Up	7.60819391453726	-5.47636345804431	-3.57050906865077
FBgn0004863	Region15092	Gd7	Up	2.96995032375981	-1.80751375023331	-1.84621608350437
