geneID	transcriptID	factor	direction
FBgn0004880	FBtr0073165	Gd7	Down
FBgn0004885	FBtr0339252	Gd7	Up
FBgn0014135	FBtr0300123	Gd7	Up
FBgn0014143	FBtr0078395	Gd7	Down
FBgn0014179	FBtr0335492	Gd7	Down
FBgn0015773	FBtr0346088	Gd7	Down
FBgn0023407	FBtr0080513	Gd7	Up
FBgn0024250	FBtr0071048	Gd7	Down
FBgn0028789	FBtr0331548	Gd7	Up
FBgn0028999	FBtr0072592	Gd7	Down
FBgn0029939	FBtr0474235	Gd7	Down
FBgn0029943	FBtr0071065	Gd7	Down
FBgn0030665	FBtr0339692	Gd7	Down
FBgn0031032	FBtr0336898	Gd7	Up
FBgn0033391	FBtr0302512	Gd7	Up
FBgn0033483	FBtr0088405	Gd7	Up
FBgn0034501	FBtr0301209	Gd7	Up
FBgn0035257	FBtr0072764	Gd7	Up
FBgn0035954	FBtr0076521	Gd7	Up
FBgn0035956	FBtr0076547	Gd7	Up
FBgn0039288	FBtr0084804	Gd7	Up
FBgn0040505	FBtr0087118	Gd7	Up
FBgn0043791	FBtr0082060	Gd7	Up
FBgn0051721	FBtr0080096	Gd7	Down
FBgn0052485	FBtr0072985	Gd7	Up
FBgn0087007	FBtr0273428	Gd7	Up
FBgn0260745	FBtr0082500	Gd7	Down
FBgn0260866	FBtr0330229	Gd7	Down
FBgn0261648	FBtr0343619	Gd7	Up
FBgn0261930	FBtr0070110	Gd7	Down
FBgn0261963	FBtr0310358	Gd7	Down
FBgn0262579	FBtr0304998	Gd7	Up
FBgn0262719	FBtr0308608	Gd7	Up
FBgn0263316	FBtr0302027	Gd7	Up
FBgn0264273	FBtr0329992	Gd7	Up
FBgn0266801	FBtr0345460	Gd7	Up
FBgn0284250	FBtr0302926	Gd7	Up
FBgn0000044	FBtr0071519	Toll10b	Up
FBgn0000046	FBtr0082785	Toll10b	Up
FBgn0001250	FBtr0301352	Toll10b	Up
FBgn0003137	FBtr0300337	Toll10b	Up
FBgn0003483	FBtr0083183	Toll10b	Down
FBgn0003719	FBtr0084691	Toll10b	Down
FBgn0003900	FBtr0100130	Toll10b	Up
FBgn0004110	FBtr0084086	Toll10b	Up
FBgn0004606	FBtr0085702	Toll10b	Up
FBgn0004666	FBtr0082711	Toll10b	Up
FBgn0008636	FBtr0071556	Toll10b	Down
FBgn0010389	FBtr0083548	Toll10b	Up
FBgn0011656	FBtr0088444	Toll10b	Up
FBgn0015609	FBtr0081017	Toll10b	Up
FBgn0019650	FBtr0089185	Toll10b	Down
FBgn0020299	FBtr0334957	Toll10b	Up
FBgn0022740	FBtr0089547	Toll10b	Up
FBgn0024189	FBtr0111043	Toll10b	Up
FBgn0030482	FBtr0073777	Toll10b	Up
FBgn0030510	FBtr0346119	Toll10b	Up
FBgn0030900	FBtr0074549	Toll10b	Up
FBgn0031037	FBtr0307161	Toll10b	Up
FBgn0031375	FBtr0330202	Toll10b	Down
FBgn0032682	FBtr0300674	Toll10b	Down
FBgn0032693	FBtr0081077	Toll10b	Up
FBgn0033458	FBtr0088376	Toll10b	Up
FBgn0035558	FBtr0304987	Toll10b	Up
FBgn0035888	FBtr0332983	Toll10b	Up
FBgn0037207	FBtr0078561	Toll10b	Up
FBgn0037819	FBtr0113215	Toll10b	Up
FBgn0038134	FBtr0082775	Toll10b	Up
FBgn0039039	FBtr0084364	Toll10b	Up
FBgn0040089	FBtr0339436	Toll10b	Up
FBgn0050115	FBtr0340387	Toll10b	Up
FBgn0052182	FBtr0075188	Toll10b	Up
FBgn0052475	FBtr0329896	Toll10b	Down
