geneID	min	max	mean	sd	overQC
Region4971	6.75399716407768	7.30095827113878	7.1331363738329	0.171316405703084	12
Region4972	7.04425182638611	7.32337991538178	7.20042864405065	0.0989883485061285	12
Region4973	7.03800577361254	8.03708004505585	7.66206532634838	0.325222978676642	12
Region4974	7.37092685199851	8.38643257909983	7.88360202999005	0.284965963034681	12
Region4975	6.91146940775445	7.81626067957676	7.20032824862919	0.337815769283578	12
Region4976	7.62945613397699	8.442712741053	8.03182121684394	0.241311890881556	12
Region4977	6.33344216986241	6.78355005428362	6.54361196296166	0.140594876913887	12
Region4978	6.79311931564225	7.25222075619865	6.99550888965363	0.14294704823997	12
Region4979	7.09166744870656	7.30897382770853	7.19809244458464	0.0769806110946951	12
Region498	6.89641264079375	7.44196807772856	7.129763062341	0.159560155853393	12
Region4980	6.95036777974478	8.40280565911705	7.49449580726314	0.493148981154443	12
Region4981	5.13054817174851	6.28860756248803	5.78849638613961	0.368485822524264	12
Region4982	7.40341439430712	7.87705614753103	7.61369748143091	0.164185580360084	12
Region4983	6.72616412781145	7.54067504372534	7.06185472730044	0.272427126047538	12
Region4984	10.2415105123083	11.0798624294799	10.5437271153954	0.288194417405314	12
Region4985	6.74783189538751	7.40175754726839	7.16772431234769	0.171777595607341	12
Region4986	6.24267372413157	6.91799791333762	6.60522669206605	0.221655757076549	12
Region4987	6.24763106401049	6.92830700519579	6.58550855247026	0.245215822409424	12
Region4988	7.96167934381229	8.71071320007682	8.39308609569337	0.274271565978704	12
Region4989	6.91714877744463	7.87586730716098	7.51752637598999	0.30535101777417	12
Region499	5.2594041187824	6.75503786190154	6.19555531763804	0.530101628273689	12
Region4990	6.36260775039782	6.98733877329453	6.67721774146152	0.188613918415242	12
Region4991	6.86188009921465	7.78711835135888	7.42684896497291	0.334449577146955	12
Region4992	6.73466987409962	7.43052888398075	7.12423029057533	0.21261857129129	12
Region4993	5.72309132175396	6.61764810415566	6.33840494256787	0.275175776790578	12
Region4994	6.6988033810383	7.58545292680925	7.21763096908333	0.273336001046744	12
Region4995	6.60129351192634	7.2397088836235	6.93641193163499	0.206223088198129	12
Region4996	6.66232906616933	7.24833288463335	6.98357991392941	0.199660888425137	12
Region4997	6.68828492829897	7.41765941301933	7.01803425323028	0.22585086761116	12
Region4998	6.62409652081417	7.41043724698382	7.07084413124414	0.240153113612292	12
Region4999	6.57642097321608	7.00145381334342	6.77357225331093	0.124699716558916	12
Region500	5.98187505027528	6.60779951408539	6.37618048056259	0.244287375336596	12
Region5000	6.71310503653236	7.51680793381327	7.21067527791138	0.234950837577263	12
Region5001	6.90174894185626	7.45282315303886	7.12999677517533	0.175898083591726	12
Region5002	7.4466110636305	7.7772000122479	7.58050262518436	0.0977044222619841	12
Region5003	7.59008367182317	8.68706173910344	8.08844139254834	0.380747435360065	12
Region5004	5.88720831896171	6.42535110453577	6.15422658497493	0.185755513448051	12
Region5005	6.99872414602274	7.44731663464449	7.19604308209511	0.14980373532123	12
Region5006	7.05946401561661	8.01582735486351	7.53957501897742	0.385040042745668	12
Region5007	6.88835025900308	7.19858900221909	7.06678313573435	0.100872854625125	12
Region5008	6.20556224972944	6.79905286224864	6.57161409925611	0.207873297965733	12
Region5009	6.74285943576955	7.58181294133856	7.16403358529319	0.222732336437417	12
Region501	6.88246419658087	7.55305325069829	7.16186040243995	0.199093014734227	12
Region5010	6.31270468770432	7.1331213642242	6.85491505986945	0.22460909204379	12
Region5011	5.61116044976016	6.29907570187248	5.97404217509263	0.242538083046501	12
Region5012	5.75170854877368	6.4459411034415	6.08895857001399	0.243805510731968	12
Region5013	5.62544101180776	6.55775757761959	6.05921606437531	0.264524158480959	12
Region5014	5.80647723638375	6.57760856027776	6.19612343557822	0.253799698666581	12
Region5015	6.78413952881842	7.1926220555833	6.99686272924537	0.151923010835542	12
Region5016	7.12863143681029	7.66024505643651	7.38091567668055	0.134445109498872	12
Region5017	7.016508748378	7.694163551258	7.36658247884376	0.23655862507844	12
Region5018	5.70619227087877	6.53618205029148	6.13967661288645	0.274281560988131	12
Region5019	7.14393552996225	8.48067518785934	7.93389981055202	0.530001304970713	12
Region502	9.18848936333454	9.43164612324934	9.2838257958911	0.0713316866202855	12
Region5020	6.96136722253857	7.78580414636819	7.41697898673985	0.281283391428056	12
Region5021	6.90813442707602	8.28406823426801	7.64301545433149	0.523252836429613	12
