geneID	ATAC_region	ATAC_factor	ATAC_direction	Time	Gd7	Toll10b	Toll9
FBgn0085424	Region1946	Toll9	Up	1.19202445777677	-1.82848731034915	-1.54149128918348	4.30747189914087
FBgn0085424	Region1947	Toll9	Up	0.639427164144357	-1.36838045106738	-0.452569754097542	2.26701638302833
FBgn0085424	Region1952	Toll9	Up	0.294052170510254	-1.4842749146176	-0.646754658073541	2.67168353958185
FBgn0085424	Region1953	Toll9	Up	0.197505211943126	-1.63374711774273	-0.356411628345773	2.45568995863728
FBgn0085424	Region1954	Toll9	Up	0.794041432779142	-2.08467403170927	-0.683214359855621	3.44517175329819
FBgn0004394	Region1962	Toll9	Up	1.12405998524335	-0.181369760571758	-1.5707045022157	2.3618483141134
FBgn0004394	Region1963	Toll9	Up	2.01719933802135	0.104201374858815	-1.92374605345464	2.49933603236965
FBgn0023407	Region2071	Gd7	Up	-0.821906355260158	3.53683647798453	-1.31775178422733	-2.46534193005206
FBgn0023407	Region2072	Gd7	Up	0.588154614710616	3.91243617410696	-1.40002410856755	-2.80584082364369
FBgn0023407	Region2075	Gd7	Up	-1.30853842648579	4.32799489711485	-1.55684372358293	-3.09278805834239
FBgn0023407	Region2080	Gd7	Up	0.175132489549111	1.87794183113098	-0.472554065399959	-1.61892934586804
FBgn0028509	Region2117	Toll9	Up	-0.999708826789042	-1.68625039972937	-0.208736898842955	2.31747743469788
FBgn0028509	Region2121	Toll9	Up	-1.30918280863402	-1.04000268545552	-0.284254318162874	1.64151426326233
FBgn0028509	Region2123	Toll9	Up	-0.05734021259912	-1.08557227125429	-0.986116390950662	2.65413308997649
FBgn0261563	Region2191	Gd7	Down	1.32295158686151	-1.91569975918655	1.39090398367461	0.411359237982139
FBgn0261563	Region2201	Gd7	Down	1.02667958283716	-2.59551628344168	0.72447855175093	2.14016519667331
FBgn0261563	Region2203	Gd7	Down	0.749760669635469	-1.97670374739735	1.40105682759541	0.471041761593066
FBgn0261563	Region2204	Gd7	Down	1.42831554453932	-3.10793373842162	2.40915066216164	0.459120471663134
FBgn0261563	Region2205	Gd7	Down	0.984884161195457	-3.08911236310534	0.539251335159493	2.98790248163852
FBgn0001983	Region2343	Gd7	Down	2.45064551369694	-2.88888860760063	1.57633386748195	1.33145195673277
FBgn0001983	Region2347	Gd7	Down	1.54559826250583	-3.14870480010001	2.61928027829604	0.221546144264575
FBgn0001983	Region2349	Gd7	Down	1.20591752805615	-1.94797684977198	1.33002187154057	0.533340399964231
FBgn0003448	Region2361	Gd7	Down	0.887317074833796	-1.9528979220477	0.338179034221211	1.89263783741911
FBgn0015609	Region2561	Toll10b	Up	1.07097105132518	-2.29439997190067	2.33518118157952	-0.420606480160173
FBgn0015609	Region2562	Toll10b	Up	-0.124463175464529	-2.28029216102863	2.35690357207996	-0.467252570047129
FBgn0015609	Region2563	Toll10b	Up	1.24081989230034	-5.31277094658436	6.69408240752796	-2.72987419093511
FBgn0015609	Region2564	Toll10b	Up	0.944648157322415	-4.83437459248469	4.97301149464499	-0.958153395908239
FBgn0015609	Region2574	Toll10b	Up	1.41772840798812	-2.79879759913928	3.07246205470504	-0.818607140205713
FBgn0015609	Region2578	Toll10b	Up	1.6587261760924	-1.14889945900315	2.02257308157129	-1.37487469959207
