gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0037313	387	195	223	172	258	230	243	218	270	258	135	258
FBgn0250746	277	148	166	191	199	251	175	164	238	220	93	198
FBgn0037315	60	23	40	32	35	25	51	41	55	50	21	63
FBgn0051542	12	14	4	7	5	9	15	1	9	14	2	9
FBgn0085306	37	27	2	23	3	7	12	4	16	23	6	9
FBgn0003275	623	346	250	258	387	410	249	291	420	488	137	278
FBgn0086695	581	318	152	245	313	348	297	192	481	424	134	369
FBgn0037317	502	296	198	217	285	331	284	245	381	327	134	271
FBgn0041707	85	53	42	56	60	79	47	37	108	95	38	92
FBgn0001311	62	42	22	36	27	31	45	18	45	46	22	34
FBgn0037320	12	12	5	6	3	8	10	4	10	14	8	8
FBgn0264712	257	134	84	134	146	164	115	112	195	181	62	140
FBgn0037322	95	58	1	0	32	28	7	6	38	41	2	0
FBgn0037323	6	1	3	1	4	5	6	3	3	5	5	3
FBgn0037324	10	5	12	10	8	4	23	8	19	6	10	12
FBgn0037326	4	4	8	4	3	3	1	7	3	2	4	4
FBgn0037325	18	14	17	14	17	20	43	20	27	21	34	17
FBgn0037327	265	140	267	351	129	166	379	265	239	248	121	348
FBgn0037328	243	108	251	198	195	202	192	256	178	159	79	253
FBgn0037329	153	66	90	79	108	122	122	110	130	137	45	130
FBgn0037330	622	347	286	219	279	323	276	293	265	293	118	218
FBgn0011715	218	92	242	274	151	153	312	276	174	176	172	361
FBgn0266539	7	4	14	8	4	4	11	9	5	6	8	15
FBgn0025825	21	12	98	98	18	41	97	94	39	35	55	148
FBgn0037332	53	42	42	29	24	25	42	30	33	31	18	37
FBgn0015402	936	442	404	449	611	616	538	425	803	765	252	611
FBgn0051550	1027	587	542	556	763	902	560	629	785	765	288	663
FBgn0051547	26	14	14	12	18	20	19	13	11	9	17	16
FBgn0010399	9	17	12	9	8	11	22	12	21	16	9	21
FBgn0010051	120	82	244	327	93	101	431	252	209	187	170	395
FBgn0264427	1	0	2	0	2	0	2	0	0	0	0	0
FBgn0037336	257	143	332	343	226	231	369	329	334	314	209	596
FBgn0014342	283	159	103	205	104	168	273	117	180	226	64	145
FBgn0086768	164	88	88	122	83	98	129	97	125	158	57	113
FBgn0037338	50	38	73	73	31	39	68	72	55	46	47	62
FBgn0037339	356	153	165	151	206	248	163	174	275	286	98	230
FBgn0037340	155	87	49	53	68	71	54	31	101	76	26	56
FBgn0037341	33	17	12	13	15	19	19	15	26	18	14	22
FBgn0037342	319	169	175	165	213	231	208	171	241	222	76	179
FBgn0041191	102	47	57	79	65	84	96	84	65	87	36	95
FBgn0023023	69	25	59	42	30	41	58	40	39	47	12	19
FBgn0037344	1381	658	1249	1256	861	1043	1361	1271	1092	1075	613	1608
FBgn0037345	18	10	3	7	1	6	7	5	10	7	3	2
FBgn0014366	581	296	235	201	337	390	266	277	385	356	113	315
FBgn0283535	132	54	59	51	78	74	58	69	85	96	26	68
FBgn0250753	808	331	749	844	403	626	836	775	751	749	432	956
