Toll10b_2	Toll9_2	Toll10b_1	Gd7_2	Gd7_1	Toll9_1
Region739	890	2675	277	1262	2586	1163
Region740	1305	3712	391	1282	2851	1648
Region741	240	1570	48	709	1121	701
Region742	309	1264	98	362	589	584
Region743	702	1080	128	600	1262	427
Region744	801	2274	271	556	1296	1012
Region745	494	1379	105	545	955	601
Region746	669	2673	186	627	1323	1180
Region747	1273	3346	306	1154	3321	1356
Region748	120	670	18	356	448	297
Region749	1357	448	365	125	134	269
Region750	355	159	123	63	88	97
Region751	3767	438	1070	257	276	214
Region752	193	50	63	34	38	33
Region753	617	262	160	83	141	130
Region754	424	1062	181	482	844	437
Region755	794	1569	513	856	2377	782
Region756	1010	1971	606	984	2661	1010
Region757	770	1568	503	871	2374	717
Region758	1201	3302	355	745	1600	1528
Region759	2352	4150	1045	1819	3640	2185
Region760	1509	1992	545	549	1036	1040
Region761	6311	12579	2677	4514	9222	6098
Region762	552	1687	157	623	1179	789
Region763	314	1129	116	466	765	463
Region764	577	1446	169	573	1073	591
Region765	372	2530	126	667	1702	1277
Region766	193	963	103	541	844	411
Region767	489	1222	132	468	1019	571
Region768	159	580	47	219	527	276
Region769	767	1614	543	926	2262	811
Region770	743	1514	526	851	2338	838
Region771	519	1075	170	383	993	511
Region772	200	441	74	213	562	214
Region773	657	1867	258	624	1089	942
Region774	1585	3790	695	1388	2597	1741
Region775	1514	2866	349	1220	2793	1208
Region776	248	1102	90	341	943	497
Region777	1116	3161	283	858	2375	1381
Region778	1253	3378	281	996	2302	1489
Region779	332	93	72	70	111	38
Region780	286	83	77	62	94	48
Region781	636	231	259	157	223	135
Region782	1046	595	427	258	490	262
