"queryHits" "subjectHits"
"604" 178 14251
"605" 178 14252
"606" 178 14253
"607" 178 14254
"608" 178 14255
"609" 178 14256
"610" 178 14257
"611" 181 14870
"612" 181 14871
"613" 181 14872
"614" 181 14873
"615" 181 14874
"616" 181 14875
"617" 182 15357
"618" 182 15358
"619" 182 15359
"620" 182 15360
"621" 182 15361
"622" 182 15362
"623" 182 15363
"624" 182 15364
"625" 182 15365
"626" 183 15725
"627" 183 15726
"628" 183 15727
"629" 183 15728
"630" 183 15729
"631" 183 15730
"632" 183 15731
"633" 183 15732
"634" 183 15733
"635" 183 15734
"636" 183 15735
"637" 183 15736
"638" 183 15737
"639" 183 15738
"640" 183 15739
"641" 183 15740
"642" 183 15741
"643" 183 15742
"644" 183 15743
"645" 183 15744
"646" 183 15745
"647" 185 16105
"648" 185 16106
"649" 185 16107
"650" 185 16108
"651" 185 16109
"652" 185 16110
"653" 185 16111
"654" 185 16112
"655" 185 16113
"656" 185 16114
"657" 185 16115
"658" 185 16116
"659" 185 16117
"660" 188 16256
"661" 188 16257
"662" 188 16258
"663" 188 16259
"664" 188 16260
"665" 188 16261
"666" 188 16262
"667" 188 16263
"668" 188 16264
"669" 189 16265
"670" 189 16266
"671" 189 16267
"672" 189 16268
"673" 189 16269
"674" 189 16270
"675" 190 16342
"676" 190 16343
"677" 190 16344
"678" 192 16576
"679" 192 16577
"680" 192 16578
"681" 192 16579
"682" 192 16580
"683" 192 16581
"684" 192 16582
"685" 192 16583
"686" 192 16584
"687" 192 16585
"688" 192 16586
"689" 192 16587
"690" 192 16588
"691" 193 16619
"692" 193 16620
"693" 193 16621
"694" 193 16622
"695" 193 16623
"696" 193 16624
"697" 193 16625
"698" 193 16626
"699" 193 16627
"700" 194 16619
"701" 194 16620
"702" 194 16621
"703" 194 16622
"704" 194 16623
"705" 194 16624
"706" 194 16625
"707" 194 16626
"708" 194 16627
"709" 197 17414
"710" 197 17415
"711" 197 17416
"712" 197 17417
"713" 197 17418
"714" 197 17419
"715" 197 17420
"716" 197 17421
"717" 197 17422
"718" 197 17423
"719" 197 17424
"720" 197 17425
"721" 198 17417
"722" 198 17418
"723" 198 17419
"724" 198 17420
"725" 198 17421
"726" 198 17422
"727" 198 17423
"728" 198 17424
"729" 198 17425
"730" 198 17426
"731" 198 17427
"732" 198 17428
"733" 199 17423
"734" 199 17424
"735" 199 17425
"736" 199 17426
"737" 199 17427
"738" 199 17428
"739" 199 17429
"740" 199 17430
"741" 199 17431
"742" 199 17432
"743" 199 17433
"744" 199 17434
"745" 199 17435
"746" 199 17436
"747" 199 17437
"748" 200 17429
"749" 200 17430
"750" 200 17431
"751" 200 17432
"752" 200 17433
"753" 200 17434
"754" 200 17435
"755" 200 17436
"756" 200 17437
"757" 200 17438
"758" 200 17439
"759" 200 17440
"760" 200 17441
"761" 200 17442
"762" 200 17443
"763" 200 17444
"764" 200 17445
"765" 200 17446
"766" 201 17438
"767" 201 17439
"768" 201 17440
"769" 201 17441
"770" 201 17442
"771" 201 17443
"772" 201 17444
"773" 201 17445
"774" 201 17446
"775" 202 17477
"776" 202 17478
"777" 202 17479
"778" 202 17480
"779" 202 17481
"780" 202 17482
"781" 206 18217
"782" 206 18218
"783" 206 18219
"784" 206 18220
"785" 206 18221
"786" 206 18222
"787" 206 18223
"788" 206 18224
"789" 206 18225
"790" 207 18492
"791" 207 18493
"792" 207 18494
"793" 207 18495
"794" 207 18496
"795" 207 18497
"796" 207 18498
"797" 207 18499
"798" 207 18500
"799" 207 18501
"800" 207 18502
