geneID	sampleID	rlog	sampleName	sampleInfo	Genotype	Replicate	Input	sample
FBtr0077956	Gd7_R1_CBP	6.42311995123391	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077959	Gd7_R1_CBP	6.11104078667288	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077985	Gd7_R1_CBP	6.86580404129351	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0332274	Gd7_R1_CBP	4.95867615292084	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0100022	Gd7_R1_CBP	6.74851702781704	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077961	Gd7_R1_CBP	6.71191488035165	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077962	Gd7_R1_CBP	6.96769786415466	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0304710	Gd7_R1_CBP	5.97174314039669	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0344015	Gd7_R1_CBP	5.59693472547617	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077979	Gd7_R1_CBP	6.33626649281498	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0344790	Gd7_R1_CBP	6.82989194982229	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077978	Gd7_R1_CBP	5.7472276576459	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077971	Gd7_R1_CBP	5.475741593247	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0343838	Gd7_R1_CBP	4.37367083230889	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0329985	Gd7_R1_CBP	7.65066181143748	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0343842	Gd7_R1_CBP	1.79920956169159	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077873	Gd7_R1_CBP	4.1644503518615	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077916	Gd7_R1_CBP	6.59914203977869	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077876	Gd7_R1_CBP	6.17618571424533	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077881	Gd7_R1_CBP	6.66665844067429	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0331630	Gd7_R1_CBP	5.82467306724151	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077912	Gd7_R1_CBP	6.04380913913764	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077882	Gd7_R1_CBP	6.131602034606	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
